order_id,transaction_id,order_date,customer_id,is_new_customer,channel,campaign,device,region,product_id,quantity,unit_price,gross_item_revenue,discount_amount,shipping_revenue,tax_amount,gross_revenue,cogs,shipping_cost,payment_fee
ORD100023,ORD100023,2025-09-14,CUST000019,True,Google Ads,PMax - Skincare Prospecting,Desktop,Northeast,SKU001,1,24.0,24.0,2.64,6.95,1.61,32.56,7.2,8.94,1.17
ORD100024,ORD100024,2025-09-14,CUST000020,True,Direct,(direct),Mobile,Northeast,SKU001,2,24.0,48.0,0.0,6.95,0.0,54.95,14.4,9.76,1.89
ORD100025,ORD100025,2025-09-14,CUST000011,False,Email/SMS,Flow - Post Purchase Winback,Desktop,South,SKU010,1,28.0,28.0,0.0,6.95,2.12,37.07,8.4,8.18,1.38
ORD100026,ORD100026,2025-09-14,CUST000021,True,Google Ads,Shopping - Bestsellers,Mobile,South,SKU004,2,56.0,112.0,0.0,0.0,0.0,112.0,31.36,8.8,3.55
ORD100027,ORD100027,2025-09-14,CUST000022,True,Direct,(direct),Desktop,Northeast,SKU005,1,42.0,42.0,0.0,6.95,4.05,53.0,10.5,9.27,1.84
ORD100028,ORD100028,2025-09-14,CUST000023,True,Meta Ads,Retargeting - Cart Abandon,Mobile,Northeast,SKU002,4,22.0,88.0,0.0,0.0,0.0,88.0,26.4,8.99,2.85
ORD100029,ORD100029,2025-09-14,CUST000024,True,Organic Search,(organic),Mobile,Midwest,SKU002,1,22.0,22.0,0.0,6.95,0.0,28.95,6.6,8.33,1.14
ORD100030,ORD100030,2025-09-14,CUST000025,True,Organic Search,(organic),Desktop,West,SKU001,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,7.34,1.2
ORD100031,ORD100031,2025-09-14,CUST000021,False,Email/SMS,Flow - Post Purchase Winback,Mobile,South,SKU003,1,48.0,48.0,9.23,6.95,3.85,58.8,12.0,7.78,1.74
ORD100032,ORD100032,2025-09-14,CUST000016,False,Email/SMS,Flow - Abandoned Cart,Desktop,South,SKU011,1,98.0,98.0,10.34,0.0,0.0,98.0,38.0,7.14,2.84
ORD100033,ORD100033,2025-09-14,CUST000026,True,Organic Social,(organic social),Mobile,South,SKU005,1,42.0,42.0,0.0,6.95,4.64,53.59,10.5,8.46,1.85
ORD100034,ORD100034,2025-09-14,CUST000002,False,Unattributed,(not set),Desktop,Northeast,SKU007,1,52.0,52.0,0.0,6.95,3.58,62.53,16.64,7.86,2.11
ORD100035,ORD100035,2025-09-14,CUST000003,False,Organic Search,(organic),Desktop,Midwest,SKU001,1,24.0,24.0,0.0,6.95,2.75,33.7,7.2,9.0,1.28
ORD100036,ORD100036,2025-09-14,CUST000025,False,Email/SMS,Flow - Abandoned Cart,Desktop,West,SKU005,2,42.0,84.0,9.58,6.95,0.0,90.95,21.0,6.81,2.66
ORD100037,ORD100037,2025-09-15,CUST000006,False,Unattributed,(not set),Mobile,South,SKU001,1,24.0,24.0,4.47,6.95,1.55,32.5,7.2,8.32,1.11
ORD100038,ORD100038,2025-09-15,CUST000027,True,Organic Social,(organic social),Desktop,South,SKU002,4,22.0,88.0,0.0,0.0,0.0,88.0,26.4,8.3,2.85
ORD100039,ORD100039,2025-09-15,CUST000028,True,Google Ads,Search - Nonbrand Skincare,Mobile,West,SKU002,1,22.0,22.0,0.0,6.95,0.0,28.95,6.6,7.36,1.14
ORD100040,ORD100040,2025-09-15,CUST000029,True,Meta Ads,Retargeting - Engaged 30d,Mobile,West,SKU004,1,56.0,56.0,8.33,6.95,0.0,62.95,15.68,7.63,1.88
ORD100041,ORD100041,2025-09-15,CUST000030,True,Organic Social,(organic social),Mobile,South,SKU006,1,38.0,38.0,0.0,6.95,0.0,44.95,11.4,8.37,1.6
ORD100042,ORD100042,2025-09-15,CUST000031,True,Organic Social,(organic social),Mobile,Northeast,SKU005,1,42.0,42.0,7.6,6.95,2.83,51.78,10.5,7.91,1.58
ORD100043,ORD100043,2025-09-15,CUST000019,False,Email/SMS,Flow - Abandoned Cart,Mobile,Northeast,SKU002,1,22.0,22.0,2.08,6.95,0.0,28.95,6.6,9.72,1.08
ORD100044,ORD100044,2025-09-15,CUST000026,False,Organic Search,(organic),Mobile,South,SKU006,1,38.0,38.0,5.43,6.95,3.5,48.45,11.4,7.23,1.55
ORD100045,ORD100045,2025-09-15,CUST000025,False,Email/SMS,Flow - Post Purchase Winback,Desktop,West,SKU004,1,56.0,56.0,0.0,6.95,0.0,62.95,15.68,7.37,2.13
ORD100046,ORD100046,2025-09-15,CUST000030,False,Email/SMS,Flow - Welcome Series,Mobile,South,SKU005,1,42.0,42.0,0.0,6.95,4.34,53.29,10.5,7.07,1.85
ORD100047,ORD100047,2025-09-15,CUST000025,False,Email/SMS,Flow - Post Purchase Winback,Desktop,West,SKU005,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,7.47,1.72
ORD100048,ORD100048,2025-09-15,CUST000010,False,Meta Ads,Retargeting - Cart Abandon,Mobile,Midwest,SKU005,1,42.0,42.0,5.37,6.95,0.0,48.95,10.5,9.23,1.56
ORD100049,ORD100049,2025-09-15,CUST000032,True,Meta Ads,Retargeting - Cart Abandon,Mobile,South,SKU006,1,38.0,38.0,0.0,6.95,0.0,44.95,11.4,8.31,1.6
ORD100050,ORD100050,2025-09-15,CUST000033,True,Organic Social,(organic social),Desktop,Midwest,SKU011,2,98.0,196.0,0.0,0.0,0.0,196.0,76.0,7.63,5.98
ORD100051,ORD100051,2025-09-15,CUST000034,True,Unattributed,(not set),Tablet,West,SKU008,2,32.0,64.0,0.0,6.95,6.11,77.06,19.2,6.75,2.53
ORD100052,ORD100052,2025-09-15,CUST000035,True,Unattributed,(not set),Mobile,Midwest,SKU001,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,9.25,1.2
ORD100053,ORD100053,2025-09-15,CUST000027,False,Meta Ads,Retargeting - Cart Abandon,Desktop,South,SKU009,1,34.0,34.0,5.26,6.95,2.7,43.65,10.88,8.62,1.41
ORD100054,ORD100054,2025-09-15,CUST000036,True,Direct,(direct),Desktop,West,SKU010,1,28.0,28.0,0.0,6.95,0.0,34.95,8.4,7.1,1.31
ORD100055,ORD100055,2025-09-15,CUST000032,False,Email/SMS,Flow - Welcome Series,Mobile,South,SKU008,2,32.0,64.0,0.0,6.95,4.29,75.24,19.2,7.49,2.48
ORD100056,ORD100056,2025-09-15,CUST000027,False,Direct,(direct),Mobile,South,SKU002,1,22.0,22.0,2.29,6.95,0.0,28.95,6.6,6.94,1.07
ORD100057,ORD100057,2025-09-15,CUST000037,True,Email/SMS,Campaign - Monthly Newsletter,Desktop,South,SKU003,2,48.0,96.0,11.43,0.0,0.0,96.0,24.0,8.72,2.75
ORD100058,ORD100058,2025-09-15,CUST000038,True,Meta Ads,Retargeting - Engaged 30d,Mobile,West,SKU010,1,28.0,28.0,0.0,6.95,0.0,34.95,8.4,8.08,1.31
ORD100059,ORD100059,2025-09-15,CUST000010,False,Organic Search,(organic),Desktop,Midwest,SKU008,1,32.0,32.0,0.0,6.95,0.0,38.95,9.6,7.6,1.43
ORD100060,ORD100060,2025-09-15,CUST000039,True,Meta Ads,Retargeting - Engaged 30d,Mobile,West,SKU003,1,48.0,48.0,0.0,6.95,3.13,58.08,12.0,7.53,1.98
ORD100061,ORD100061,2025-09-15,CUST000040,True,Organic Search,(organic),Mobile,South,SKU004,1,56.0,56.0,5.23,6.95,4.35,67.3,15.68,8.63,2.1
ORD100062,ORD100062,2025-09-15,CUST000041,True,Organic Social,(organic social),Desktop,West,SKU003,1,48.0,48.0,0.0,6.95,3.75,58.7,12.0,7.87,2.0
ORD100063,ORD100063,2025-09-15,CUST000042,True,Organic Search,(organic),Mobile,West,SKU002,4,22.0,88.0,9.03,0.0,6.3,94.3,26.4,6.56,2.77
ORD100064,ORD100064,2025-09-15,CUST000043,True,Direct,(direct),Mobile,Northeast,SKU006,1,38.0,38.0,0.0,6.95,4.12,49.07,11.4,9.51,1.72
ORD100065,ORD100065,2025-09-15,CUST000004,False,Meta Ads,Prospecting - Lookalike 1%,Mobile,South,SKU008,1,32.0,32.0,4.15,6.95,1.96,40.91,9.6,7.54,1.37
ORD100066,ORD100066,2025-09-15,CUST000044,True,Organic Search,(organic),Desktop,Midwest,SKU003,2,48.0,96.0,0.0,0.0,7.94,103.94,24.0,7.65,3.31
ORD100067,ORD100067,2025-09-15,CUST000012,False,Email/SMS,Flow - Welcome Series,Mobile,Midwest,SKU001,2,24.0,48.0,0.0,6.95,0.0,54.95,14.4,8.47,1.89
ORD100068,ORD100068,2025-09-16,CUST000045,True,Meta Ads,Prospecting - Lookalike 1%,Desktop,West,SKU006,1,38.0,38.0,0.0,6.95,0.0,44.95,11.4,7.01,1.6
ORD100069,ORD100069,2025-09-16,CUST000030,False,Organic Search,(organic),Mobile,South,SKU008,3,32.0,96.0,0.0,0.0,0.0,96.0,28.8,6.92,3.08
ORD100070,ORD100070,2025-09-16,CUST000046,True,Direct,(direct),Mobile,Midwest,SKU002,3,22.0,66.0,6.86,6.95,0.0,72.95,19.8,9.12,2.22
ORD100071,ORD100071,2025-09-16,CUST000030,False,Email/SMS,Flow - Post Purchase Winback,Mobile,South,SKU008,2,32.0,64.0,0.0,6.95,6.47,77.42,19.2,8.04,2.55
ORD100072,ORD100072,2025-09-16,CUST000047,True,Meta Ads,Prospecting - Lookalike 1%,Mobile,Northeast,SKU004,2,56.0,112.0,0.0,0.0,8.89,120.89,31.36,8.59,3.81
ORD100073,ORD100073,2025-09-16,CUST000048,True,Email/SMS,Campaign - Monthly Newsletter,Mobile,West,SKU004,1,56.0,56.0,5.57,6.95,5.35,68.3,15.68,7.87,2.12
ORD100074,ORD100074,2025-09-16,CUST000029,False,Email/SMS,Flow - Post Purchase Winback,Mobile,West,SKU002,1,22.0,22.0,0.0,6.95,2.15,31.1,6.6,7.02,1.2
ORD100075,ORD100075,2025-09-16,CUST000049,True,Meta Ads,Prospecting - Broad,Mobile,Midwest,SKU010,3,28.0,84.0,0.0,0.0,0.0,84.0,25.2,9.36,2.74
ORD100076,ORD100076,2025-09-16,CUST000050,True,Google Ads,Search - Nonbrand Skincare,Desktop,Midwest,SKU005,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,7.72,1.72
ORD100077,ORD100077,2025-09-16,CUST000051,True,Google Ads,Search - Brand,Mobile,Midwest,SKU008,1,32.0,32.0,0.0,6.95,0.0,38.95,9.6,7.64,1.43
ORD100078,ORD100078,2025-09-16,CUST000032,False,Direct,(direct),Mobile,South,SKU003,2,48.0,96.0,0.0,0.0,7.32,103.32,24.0,8.65,3.3
ORD100079,ORD100079,2025-09-16,CUST000052,True,Email/SMS,Flow - Welcome Series,Desktop,Midwest,SKU005,1,42.0,42.0,0.0,6.95,2.95,51.9,10.5,8.47,1.81
ORD100080,ORD100080,2025-09-16,CUST000053,True,Email/SMS,Flow - Welcome Series,Mobile,West,SKU003,1,48.0,48.0,9.12,6.95,0.0,54.95,12.0,7.14,1.63
ORD100081,ORD100081,2025-09-16,CUST000054,True,Meta Ads,Prospecting - Broad,Tablet,Northeast,SKU008,1,32.0,32.0,6.1,6.95,2.26,41.21,9.6,8.48,1.32
ORD100082,ORD100082,2025-09-16,CUST000035,False,Email/SMS,Flow - Post Purchase Winback,Mobile,Midwest,SKU006,1,38.0,38.0,0.0,6.95,3.3,48.25,11.4,7.96,1.7
ORD100083,ORD100083,2025-09-16,CUST000055,True,Google Ads,Search - Brand,Mobile,Midwest,SKU005,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,8.35,1.72
ORD100084,ORD100084,2025-09-16,CUST000051,False,Meta Ads,Retargeting - Cart Abandon,Mobile,Midwest,SKU010,2,28.0,56.0,0.0,6.95,0.0,62.95,16.8,8.46,2.13
ORD100085,ORD100085,2025-09-16,CUST000056,True,Organic Search,(organic),Mobile,South,SKU008,1,32.0,32.0,0.0,6.95,0.0,38.95,9.6,7.74,1.43
ORD100086,ORD100086,2025-09-16,CUST000057,True,Meta Ads,Prospecting - Broad,Mobile,Midwest,SKU007,1,52.0,52.0,6.2,6.95,0.0,58.95,16.64,7.8,1.83
ORD100087,ORD100087,2025-09-16,CUST000010,False,Email/SMS,Flow - Welcome Series,Mobile,Midwest,SKU003,1,48.0,48.0,0.0,6.95,0.0,54.95,12.0,7.81,1.89
ORD100088,ORD100088,2025-09-16,CUST000058,True,Meta Ads,Prospecting - Lookalike 1%,Mobile,Northeast,SKU004,2,56.0,112.0,14.34,0.0,0.0,112.0,31.36,9.55,3.13
ORD100089,ORD100089,2025-09-16,CUST000037,False,Email/SMS,Flow - Post Purchase Winback,Desktop,South,SKU006,1,38.0,38.0,0.0,6.95,0.0,44.95,11.4,8.73,1.6
ORD100090,ORD100090,2025-09-16,CUST000032,False,Meta Ads,Prospecting - Broad,Mobile,South,SKU005,1,42.0,42.0,0.0,6.95,3.84,52.79,10.5,7.48,1.83
ORD100091,ORD100091,2025-09-16,CUST000045,False,Google Ads,Shopping - Bestsellers,Desktop,West,SKU003,2,48.0,96.0,0.0,0.0,0.0,96.0,24.0,6.78,3.08
ORD100092,ORD100092,2025-09-16,CUST000010,False,Email/SMS,Flow - Post Purchase Winback,Mobile,Midwest,SKU006,3,38.0,114.0,0.0,0.0,9.88,123.88,34.2,7.54,3.89
ORD100093,ORD100093,2025-09-16,CUST000027,False,Meta Ads,Prospecting - Broad,Desktop,South,SKU004,1,56.0,56.0,0.0,6.95,0.0,62.95,15.68,8.27,2.13
ORD100094,ORD100094,2025-09-16,CUST000059,True,Meta Ads,Retargeting - Cart Abandon,Tablet,South,SKU005,1,42.0,42.0,6.75,6.95,0.0,48.95,10.5,7.61,1.52
ORD100095,ORD100095,2025-09-16,CUST000060,True,Google Ads,Shopping - Bestsellers,Desktop,Northeast,SKU005,2,42.0,84.0,15.58,6.95,5.75,96.7,21.0,7.99,2.65
ORD100096,ORD100096,2025-09-16,CUST000061,True,Google Ads,PMax - Skincare Prospecting,Mobile,Midwest,SKU009,1,34.0,34.0,6.23,6.95,0.0,40.95,10.88,9.05,1.31
ORD100097,ORD100097,2025-09-16,CUST000062,True,Organic Search,(organic),Mobile,Midwest,SKU005,2,42.0,84.0,0.0,0.0,5.32,89.32,21.0,8.14,2.89
ORD100098,ORD100098,2025-09-16,CUST000063,True,Meta Ads,Retargeting - Engaged 30d,Mobile,Northeast,SKU004,4,56.0,224.0,0.0,0.0,20.16,244.16,62.72,8.7,7.38
ORD100099,ORD100099,2025-09-16,CUST000064,True,Meta Ads,Prospecting - Broad,Desktop,West,SKU008,1,32.0,32.0,0.0,6.95,0.0,38.95,9.6,8.16,1.43
ORD100100,ORD100100,2025-09-16,CUST000065,True,Organic Social,(organic social),Desktop,South,SKU004,1,56.0,56.0,0.0,6.95,0.0,62.95,15.68,7.53,2.13
ORD100101,ORD100101,2025-09-17,CUST000066,True,Meta Ads,Retargeting - Cart Abandon,Desktop,Midwest,SKU002,2,22.0,44.0,0.0,6.95,0.0,50.95,13.2,8.35,1.78
ORD100102,ORD100102,2025-09-17,CUST000067,True,Meta Ads,Retargeting - Cart Abandon,Mobile,South,SKU002,1,22.0,22.0,0.0,6.95,1.66,30.61,6.6,7.54,1.19
ORD100103,ORD100103,2025-09-17,CUST000068,True,Meta Ads,Retargeting - Engaged 30d,Desktop,West,SKU001,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,6.74,1.2
ORD100104,ORD100104,2025-09-17,CUST000069,True,Unattributed,(not set),Mobile,South,SKU003,4,48.0,192.0,0.0,0.0,18.08,210.08,48.0,8.51,6.39
ORD100105,ORD100105,2025-09-17,CUST000066,False,Direct,(direct),Desktop,Midwest,SKU001,1,24.0,24.0,2.22,6.95,0.0,30.95,7.2,9.13,1.13
ORD100106,ORD100106,2025-09-17,CUST000070,True,Organic Search,(organic),Desktop,Northeast,SKU004,1,56.0,56.0,0.0,6.95,0.0,62.95,15.68,8.94,2.13
ORD100107,ORD100107,2025-09-17,CUST000071,True,Google Ads,Search - Nonbrand Skincare,Mobile,West,SKU002,2,22.0,44.0,0.0,6.95,0.0,50.95,13.2,6.93,1.78
ORD100108,ORD100108,2025-09-17,CUST000069,False,Direct,(direct),Mobile,South,SKU001,4,24.0,96.0,0.0,0.0,0.0,96.0,28.8,8.75,3.08
ORD100109,ORD100109,2025-09-17,CUST000049,False,Meta Ads,Prospecting - Broad,Mobile,Midwest,SKU001,2,24.0,48.0,0.0,6.95,4.26,59.21,14.4,9.16,2.02
ORD100110,ORD100110,2025-09-17,CUST000036,False,Direct,(direct),Desktop,West,SKU011,4,98.0,392.0,59.31,0.0,19.64,411.64,152.0,8.26,10.52
ORD100111,ORD100111,2025-09-17,CUST000072,True,Unattributed,(not set),Mobile,South,SKU004,1,56.0,56.0,9.82,6.95,3.57,66.52,15.68,8.58,1.94
ORD100112,ORD100112,2025-09-17,CUST000073,True,Google Ads,PMax - Skincare Prospecting,Desktop,West,SKU007,1,52.0,52.0,0.0,6.95,0.0,58.95,16.64,6.58,2.01
ORD100113,ORD100113,2025-09-17,CUST000074,True,Meta Ads,Prospecting - Lookalike 1%,Mobile,Northeast,SKU004,2,56.0,112.0,0.0,0.0,0.0,112.0,31.36,7.96,3.55
ORD100114,ORD100114,2025-09-17,CUST000075,True,Google Ads,Search - Nonbrand Skincare,Mobile,South,SKU012,4,145.0,580.0,0.0,0.0,0.0,580.0,244.0,7.5,17.12
ORD100115,ORD100115,2025-09-17,CUST000076,True,Direct,(direct),Mobile,South,SKU011,1,98.0,98.0,0.0,0.0,9.19,107.19,38.0,7.79,3.41
ORD100116,ORD100116,2025-09-17,CUST000077,True,Unattributed,(not set),Mobile,Northeast,SKU007,2,52.0,104.0,0.0,0.0,0.0,104.0,33.28,9.48,3.32
ORD100117,ORD100117,2025-09-17,CUST000078,True,Google Ads,PMax - Skincare Prospecting,Tablet,Midwest,SKU005,1,42.0,42.0,0.0,6.95,2.87,51.82,10.5,8.12,1.8
ORD100118,ORD100118,2025-09-17,CUST000079,True,Email/SMS,Flow - Post Purchase Winback,Mobile,West,SKU002,1,22.0,22.0,0.0,6.95,0.0,28.95,6.6,6.94,1.14
ORD100119,ORD100119,2025-09-17,CUST000080,True,Meta Ads,Prospecting - Lookalike 1%,Mobile,West,SKU006,3,38.0,114.0,0.0,0.0,9.92,123.92,34.2,7.75,3.89
ORD100120,ORD100120,2025-09-17,CUST000011,False,Email/SMS,Flow - Abandoned Cart,Desktop,South,SKU004,4,56.0,224.0,22.76,0.0,16.33,240.33,62.72,7.27,6.61
ORD100121,ORD100121,2025-09-17,CUST000081,True,Organic Search,(organic),Mobile,Northeast,SKU002,1,22.0,22.0,0.0,6.95,0.0,28.95,6.6,8.84,1.14
ORD100122,ORD100122,2025-09-17,CUST000082,True,Google Ads,Search - Nonbrand Skincare,Mobile,West,SKU006,1,38.0,38.0,0.0,6.95,0.0,44.95,11.4,6.6,1.6
ORD100123,ORD100123,2025-09-17,CUST000083,True,Meta Ads,Retargeting - Engaged 30d,Desktop,Midwest,SKU004,1,56.0,56.0,0.0,6.95,5.13,68.08,15.68,8.66,2.27
ORD100124,ORD100124,2025-09-17,CUST000084,True,Google Ads,PMax - Skincare Prospecting,Desktop,South,SKU008,1,32.0,32.0,5.42,6.95,2.68,41.63,9.6,7.16,1.35
ORD100125,ORD100125,2025-09-17,CUST000085,True,Meta Ads,Prospecting - Broad,Mobile,West,SKU003,1,48.0,48.0,0.0,6.95,0.0,54.95,12.0,8.02,1.89
ORD100126,ORD100126,2025-09-17,CUST000086,True,Meta Ads,Retargeting - Engaged 30d,Mobile,South,SKU001,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,7.04,1.2
ORD100127,ORD100127,2025-09-17,CUST000018,False,Meta Ads,Prospecting - Lookalike 1%,Desktop,Northeast,SKU004,1,56.0,56.0,0.0,6.95,5.36,68.31,15.68,8.58,2.28
ORD100128,ORD100128,2025-09-17,CUST000087,True,Google Ads,Shopping - Bestsellers,Mobile,West,SKU008,3,32.0,96.0,0.0,0.0,0.0,96.0,28.8,7.79,3.08
ORD100129,ORD100129,2025-09-17,CUST000073,False,Meta Ads,Retargeting - Engaged 30d,Desktop,West,SKU001,1,24.0,24.0,0.0,6.95,2.41,33.36,7.2,7.49,1.27
ORD100130,ORD100130,2025-09-17,CUST000088,True,Meta Ads,Prospecting - Broad,Desktop,Northeast,SKU010,2,28.0,56.0,0.0,6.95,4.99,67.94,16.8,8.6,2.27
ORD100131,ORD100131,2025-09-17,CUST000089,True,Meta Ads,Retargeting - Engaged 30d,Mobile,West,SKU001,4,24.0,96.0,0.0,0.0,5.95,101.95,28.8,7.86,3.26
ORD100132,ORD100132,2025-09-17,CUST000036,False,Email/SMS,Flow - Abandoned Cart,Mobile,West,SKU003,4,48.0,192.0,18.66,0.0,14.91,206.91,48.0,7.37,5.76
ORD100133,ORD100133,2025-09-17,CUST000075,False,Email/SMS,Flow - Welcome Series,Mobile,South,SKU012,1,145.0,145.0,20.63,0.0,8.81,153.81,61.0,8.52,4.16
ORD100134,ORD100134,2025-09-17,CUST000090,True,Meta Ads,Retargeting - Cart Abandon,Mobile,Northeast,SKU006,2,38.0,76.0,0.0,0.0,6.99,82.99,22.8,8.62,2.71
ORD100135,ORD100135,2025-09-18,CUST000037,False,Email/SMS,Flow - Abandoned Cart,Desktop,South,SKU002,1,22.0,22.0,2.46,6.95,0.0,28.95,6.6,8.72,1.07
ORD100136,ORD100136,2025-09-18,CUST000091,True,Meta Ads,Prospecting - Lookalike 1%,Desktop,South,SKU003,2,48.0,96.0,0.0,0.0,7.73,103.73,24.0,6.97,3.31
ORD100137,ORD100137,2025-09-18,CUST000056,False,Meta Ads,Retargeting - Engaged 30d,Mobile,South,SKU001,2,24.0,48.0,0.0,6.95,0.0,54.95,14.4,8.14,1.89
ORD100138,ORD100138,2025-09-18,CUST000010,False,Direct,(direct),Mobile,Midwest,SKU008,2,32.0,64.0,0.0,6.95,4.58,75.53,19.2,7.98,2.49
ORD100139,ORD100139,2025-09-18,CUST000092,True,Google Ads,Shopping - Bestsellers,Desktop,Northeast,SKU003,2,48.0,96.0,0.0,0.0,8.33,104.33,24.0,8.85,3.33
ORD100140,ORD100140,2025-09-18,CUST000015,False,Email/SMS,Flow - Post Purchase Winback,Desktop,Midwest,SKU005,3,42.0,126.0,0.0,0.0,10.9,136.9,31.5,9.15,4.27
ORD100141,ORD100141,2025-09-18,CUST000009,False,Email/SMS,Flow - Welcome Series,Desktop,South,SKU006,1,38.0,38.0,0.0,6.95,3.75,48.7,11.4,6.95,1.71
ORD100142,ORD100142,2025-09-18,CUST000093,True,Google Ads,PMax - Skincare Prospecting,Desktop,West,SKU004,4,56.0,224.0,0.0,0.0,0.0,224.0,62.72,7.02,6.8
ORD100143,ORD100143,2025-09-18,CUST000094,True,Google Ads,Search - Brand,Desktop,West,SKU003,1,48.0,48.0,0.0,6.95,0.0,54.95,12.0,7.92,1.89
ORD100144,ORD100144,2025-09-18,CUST000095,True,Google Ads,Search - Brand,Mobile,Northeast,SKU009,1,34.0,34.0,0.0,6.95,0.0,40.95,10.88,8.08,1.49
ORD100145,ORD100145,2025-09-18,CUST000096,True,Meta Ads,Retargeting - Cart Abandon,Mobile,West,SKU001,1,24.0,24.0,0.0,6.95,2.73,33.68,7.2,6.65,1.28
