date,channel,campaign,ad_set,product_focus,spend,impressions,clicks,platform_reported_revenue,platform_reported_conversions
2025-11-15,Google Ads,Search - Brand,N/A,SKU008,20.3,1888,57,166.68,4
2025-11-16,Google Ads,Search - Brand,N/A,SKU006,11.02,1075,60,46.3,1
2025-11-17,Google Ads,Search - Brand,N/A,SKU009,10.57,718,38,42.53,1
2025-11-18,Google Ads,Search - Brand,N/A,SKU007,13.45,943,32,159.04,4
2025-11-19,Google Ads,Search - Brand,N/A,SKU006,33.51,3321,180,338.89,8
2025-11-20,Google Ads,Search - Brand,N/A,SKU002,11.51,1075,42,52.17,1
2025-11-21,Google Ads,Search - Brand,N/A,SKU005,20.08,1985,114,181.33,4
2025-11-22,Google Ads,Search - Brand,N/A,SKU005,14.49,1075,55,170.4,4
2025-11-23,Google Ads,Search - Brand,N/A,SKU003,48.36,3565,99,536.17,13
2025-11-24,Google Ads,Search - Brand,N/A,SKU001,30.57,2087,59,382.57,9
2025-11-25,Google Ads,Search - Brand,N/A,SKU001,25.22,1764,62,231.35,6
2025-11-26,Google Ads,Search - Brand,N/A,SKU003,68.25,4871,157,715.22,17
2025-11-27,Google Ads,Search - Brand,N/A,SKU001,34.78,3469,159,283.32,7
2025-11-28,Google Ads,Search - Brand,N/A,SKU012,9.08,799,37,119.82,3
2025-11-29,Google Ads,Search - Brand,N/A,SKU005,13.19,861,50,99.74,2
2025-11-30,Google Ads,Search - Brand,N/A,SKU007,39.04,3161,172,341.39,8
2025-12-01,Google Ads,Search - Brand,N/A,SKU011,48.84,3637,118,586.02,14
2025-12-02,Google Ads,Search - Brand,N/A,SKU004,13.08,985,31,46.32,1
2025-12-03,Google Ads,Search - Brand,N/A,SKU003,13.89,1188,61,46.97,1
2025-12-04,Google Ads,Search - Brand,N/A,SKU005,38.93,4214,212,451.17,11
2025-12-05,Google Ads,Search - Brand,N/A,SKU009,45.62,3231,99,462.97,11
2025-12-06,Google Ads,Search - Brand,N/A,SKU001,68.76,4615,250,610.62,15
2025-12-07,Google Ads,Search - Brand,N/A,SKU001,30.71,2348,98,428.11,10
2025-12-08,Google Ads,Search - Brand,N/A,SKU005,11.9,1185,41,57.08,1
2025-12-09,Google Ads,Search - Brand,N/A,SKU001,31.52,2083,116,307.89,7
2025-12-10,Google Ads,Search - Brand,N/A,SKU002,13.16,859,24,56.17,1
2025-12-11,Google Ads,Search - Brand,N/A,SKU009,12.52,869,40,118.63,3
2025-12-12,Google Ads,Search - Brand,N/A,SKU002,51.62,4457,207,458.6,11
2025-12-13,Google Ads,Search - Brand,N/A,SKU001,14.62,925,44,32.52,1
2025-12-14,Google Ads,Search - Brand,N/A,SKU002,37.53,2673,135,469.02,11
2025-12-15,Google Ads,Search - Brand,N/A,SKU012,44.34,3716,126,495.09,12
2025-12-16,Google Ads,Search - Brand,N/A,SKU001,27.29,1719,54,292.98,7
2025-12-17,Google Ads,Search - Brand,N/A,SKU005,13.73,1063,34,7.69,0
2025-12-18,Google Ads,Search - Brand,N/A,SKU007,32.3,2945,121,341.31,8
2025-12-19,Google Ads,Search - Brand,N/A,SKU001,13.94,1495,82,64.15,2
2025-12-20,Google Ads,Search - Brand,N/A,SKU012,15.66,991,29,186.71,4
2025-12-21,Google Ads,Search - Brand,N/A,SKU005,12.76,964,56,153.21,4
2025-12-22,Google Ads,Search - Brand,N/A,SKU001,12.31,805,27,66.08,2
2025-12-23,Google Ads,Search - Brand,N/A,SKU005,9.2,967,52,5.09,0
2025-12-24,Google Ads,Search - Brand,N/A,SKU011,12.39,797,24,119.22,3
2025-12-25,Google Ads,Search - Brand,N/A,SKU005,18.87,1260,56,223.14,5
2025-12-26,Google Ads,Search - Brand,N/A,SKU012,22.18,1636,46,215.25,5
2025-12-27,Google Ads,Search - Brand,N/A,SKU008,10.15,985,44,7.12,0
2025-12-28,Google Ads,Search - Brand,N/A,SKU002,13.11,997,37,159.98,4
2025-12-29,Google Ads,Search - Brand,N/A,SKU004,11.22,1160,38,5.9,0
2025-12-30,Google Ads,Search - Brand,N/A,SKU003,11.35,1190,34,5.38,0
2025-12-31,Google Ads,Search - Brand,N/A,SKU006,13.49,1094,57,119.17,3
2026-01-01,Google Ads,Search - Brand,N/A,SKU002,18.76,2034,97,178.81,4
2026-01-02,Google Ads,Search - Brand,N/A,SKU001,15.92,1031,55,228.87,5
2026-01-03,Google Ads,Search - Brand,N/A,SKU006,10.59,819,32,50.85,1
2026-01-04,Google Ads,Search - Brand,N/A,SKU005,9.53,853,43,10.31,0
2026-01-05,Google Ads,Search - Brand,N/A,SKU010,14.61,1183,48,8.12,0
2026-01-06,Google Ads,Search - Brand,N/A,SKU004,20.33,1410,43,243.47,6
2026-01-07,Google Ads,Search - Brand,N/A,SKU008,10.78,713,24,3.42,0
2026-01-08,Google Ads,Search - Brand,N/A,SKU001,10.55,839,28,58.34,1
2026-01-09,Google Ads,Search - Brand,N/A,SKU003,33.33,2148,90,259.49,6
2026-01-10,Google Ads,Search - Brand,N/A,SKU008,13.73,1332,72,11.33,0
2026-01-11,Google Ads,Search - Brand,N/A,SKU003,9.6,664,27,108.55,3
2026-01-12,Google Ads,Search - Brand,N/A,SKU001,13.05,914,25,137.41,3
2026-01-13,Google Ads,Search - Brand,N/A,SKU007,13.52,849,48,129.03,3
2026-01-14,Google Ads,Search - Brand,N/A,SKU010,13.58,849,47,36.66,1
2026-01-15,Google Ads,Search - Brand,N/A,SKU005,30.46,2481,139,356.95,8
2026-01-16,Google Ads,Search - Brand,N/A,SKU002,12.6,900,37,12.79,0
2026-01-17,Google Ads,Search - Brand,N/A,SKU006,8.58,680,40,5.81,0
2026-01-18,Google Ads,Search - Brand,N/A,SKU011,12.64,820,36,68.57,2
2026-01-19,Google Ads,Search - Brand,N/A,SKU011,13.41,1470,83,14.26,0
2026-01-20,Google Ads,Search - Brand,N/A,SKU006,12.33,1037,39,60.7,1
2026-01-21,Google Ads,Search - Brand,N/A,SKU011,9.11,703,28,56.42,1
2026-01-22,Google Ads,Search - Brand,N/A,SKU002,14.57,1369,72,118.27,3
2026-01-23,Google Ads,Search - Brand,N/A,SKU009,9.12,942,46,8.17,0
2026-01-24,Google Ads,Search - Brand,N/A,SKU007,8.9,602,34,108.29,3
2026-01-25,Google Ads,Search - Brand,N/A,SKU002,9.33,753,24,8.11,0
2026-01-26,Google Ads,Search - Brand,N/A,SKU002,12.29,1179,39,91.62,2
2026-01-27,Google Ads,Search - Brand,N/A,SKU012,12.65,1167,63,122.95,3
2026-01-28,Google Ads,Search - Brand,N/A,SKU006,17.73,1178,39,199.46,5
2026-01-29,Google Ads,Search - Brand,N/A,SKU003,47.7,3500,169,537.58,13
2026-01-30,Google Ads,Search - Brand,N/A,SKU011,8.73,712,32,64.87,2
2026-01-31,Google Ads,Search - Brand,N/A,SKU004,12.31,1291,32,53.0,1
2026-02-01,Google Ads,Search - Brand,N/A,SKU005,10.12,1077,28,95.88,2
2026-02-02,Google Ads,Search - Brand,N/A,SKU005,24.59,2261,58,210.18,5
2026-02-03,Google Ads,Search - Brand,N/A,SKU003,14.93,1289,42,135.48,3
2026-02-04,Google Ads,Search - Brand,N/A,SKU002,9.84,892,35,142.14,3
2026-02-05,Google Ads,Search - Brand,N/A,SKU002,11.16,789,27,103.7,2
2026-02-06,Google Ads,Search - Brand,N/A,SKU009,18.61,1517,74,178.37,4
2026-02-07,Google Ads,Search - Brand,N/A,SKU004,33.26,2849,168,403.96,10
2026-02-08,Google Ads,Search - Brand,N/A,SKU006,37.71,3899,118,485.13,12
2026-02-09,Google Ads,Search - Brand,N/A,SKU003,19.84,1540,88,188.61,4
2026-02-10,Google Ads,Search - Brand,N/A,SKU001,26.91,2045,56,276.05,7
2026-02-11,Google Ads,Search - Brand,N/A,SKU003,20.36,1424,50,221.04,5
2026-02-12,Google Ads,Search - Brand,N/A,SKU008,12.37,781,39,134.6,3
2026-02-13,Google Ads,Search - Brand,N/A,SKU001,19.08,1622,86,236.04,6
2026-02-14,Google Ads,Search - Brand,N/A,SKU003,40.49,2662,158,379.95,9
2026-02-15,Google Ads,Search - Brand,N/A,SKU003,27.64,1962,93,296.0,7
2026-02-16,Google Ads,Search - Brand,N/A,SKU001,12.09,784,21,7.65,0
2026-02-17,Google Ads,Search - Brand,N/A,SKU005,9.38,768,19,9.04,0
2026-02-18,Google Ads,Search - Brand,N/A,SKU006,13.06,1047,29,58.46,1
2026-02-19,Google Ads,Search - Brand,N/A,SKU012,13.37,1019,27,110.6,3
2026-02-20,Google Ads,Search - Brand,N/A,SKU005,20.65,1410,63,217.46,5
2026-02-21,Google Ads,Search - Brand,N/A,SKU005,20.02,1631,57,164.17,4
2026-02-22,Google Ads,Search - Brand,N/A,SKU010,11.96,1056,47,63.75,2
2026-02-23,Google Ads,Search - Brand,N/A,SKU010,12.87,1123,52,100.82,2
2026-02-24,Google Ads,Search - Brand,N/A,SKU003,26.1,1856,80,242.28,6
2026-02-25,Google Ads,Search - Brand,N/A,SKU006,8.83,760,39,94.02,2
2026-02-26,Google Ads,Search - Brand,N/A,SKU005,46.09,5025,215,546.33,13
2026-02-27,Google Ads,Search - Brand,N/A,SKU002,11.68,847,21,88.83,2
2026-02-28,Google Ads,Search - Brand,N/A,SKU004,49.24,3369,101,574.25,14
2026-03-01,Google Ads,Search - Brand,N/A,SKU007,14.38,1307,59,45.23,1
2026-03-02,Google Ads,Search - Brand,N/A,SKU003,26.85,2830,147,353.47,8
2026-03-03,Google Ads,Search - Brand,N/A,SKU005,9.33,882,52,7.82,0
2026-03-04,Google Ads,Search - Brand,N/A,SKU006,15.42,1694,85,157.51,4
2026-03-05,Google Ads,Search - Brand,N/A,SKU002,13.08,1061,42,128.33,3
2026-03-06,Google Ads,Search - Brand,N/A,SKU002,12.73,848,38,11.61,0
2026-03-07,Google Ads,Search - Brand,N/A,SKU002,11.22,813,30,80.11,2
2026-03-08,Google Ads,Search - Brand,N/A,SKU008,53.65,3851,186,656.52,16
2026-03-09,Google Ads,Search - Brand,N/A,SKU008,9.99,778,35,60.4,1
2026-03-10,Google Ads,Search - Brand,N/A,SKU001,10.2,770,38,139.8,3
2026-03-11,Google Ads,Search - Brand,N/A,SKU006,12.12,962,31,4.69,0
2026-03-12,Google Ads,Search - Brand,N/A,SKU009,25.44,1605,59,275.28,7
2026-03-13,Google Ads,Search - Brand,N/A,SKU006,52.81,5601,296,505.84,12
2026-03-14,Google Ads,Search - Brand,N/A,SKU003,25.53,1601,80,226.95,5
2026-03-15,Google Ads,Search - Brand,N/A,SKU004,30.97,2931,119,316.62,8
2026-03-16,Google Ads,Search - Brand,N/A,SKU002,12.34,904,32,10.29,0
2026-03-17,Google Ads,Search - Brand,N/A,SKU003,11.85,782,28,5.77,0
2026-03-18,Google Ads,Search - Brand,N/A,SKU004,8.93,758,20,35.82,1
2026-03-19,Google Ads,Search - Brand,N/A,SKU008,11.44,1117,58,10.61,0
2026-03-20,Google Ads,Search - Brand,N/A,SKU010,18.12,1213,72,203.26,5
2026-03-21,Google Ads,Search - Brand,N/A,SKU008,15.04,1655,85,140.76,3
2026-03-22,Google Ads,Search - Brand,N/A,SKU006,10.2,833,43,60.5,1
2026-03-23,Google Ads,Search - Brand,N/A,SKU005,15.17,1180,59,200.46,5
2026-03-24,Google Ads,Search - Brand,N/A,SKU007,12.2,998,59,8.16,0
2026-03-25,Google Ads,Search - Brand,N/A,SKU004,17.76,1746,82,162.23,4
2026-03-26,Google Ads,Search - Brand,N/A,SKU005,44.38,2963,136,453.84,11
2026-03-27,Google Ads,Search - Brand,N/A,SKU006,9.21,858,26,90.97,2
2026-03-28,Google Ads,Search - Brand,N/A,SKU001,9.59,984,57,75.54,2
2026-03-29,Google Ads,Search - Brand,N/A,SKU001,11.62,767,39,58.91,1
2026-03-30,Google Ads,Search - Brand,N/A,SKU004,11.87,1101,28,58.29,1
2026-03-31,Google Ads,Search - Brand,N/A,SKU007,9.82,701,38,84.33,2
2026-04-01,Google Ads,Search - Brand,N/A,SKU003,13.76,1431,81,68.89,2
2026-04-02,Google Ads,Search - Brand,N/A,SKU003,10.58,1104,29,39.61,1
2026-04-03,Google Ads,Search - Brand,N/A,SKU004,42.16,3962,197,374.67,9
2026-04-04,Google Ads,Search - Brand,N/A,SKU008,25.35,2769,158,236.69,6
2026-04-05,Google Ads,Search - Brand,N/A,SKU007,35.11,2374,112,512.91,12
2026-04-06,Google Ads,Search - Brand,N/A,SKU005,14.09,1299,42,112.71,3
2026-04-07,Google Ads,Search - Brand,N/A,SKU004,31.64,2248,128,262.77,6
2026-04-08,Google Ads,Search - Brand,N/A,SKU004,16.0,1022,33,133.84,3
2026-04-09,Google Ads,Search - Brand,N/A,SKU005,28.37,2497,82,341.03,8
2026-04-10,Google Ads,Search - Brand,N/A,SKU001,12.14,865,30,32.32,1
2026-04-11,Google Ads,Search - Brand,N/A,SKU003,28.36,3087,145,244.78,6
2026-04-12,Google Ads,Search - Brand,N/A,SKU005,11.51,869,26,8.48,0
2026-04-13,Google Ads,Search - Brand,N/A,SKU004,9.6,619,34,124.64,3
2026-04-14,Google Ads,Search - Brand,N/A,SKU006,28.74,2324,102,274.6,7
2026-04-15,Google Ads,Search - Brand,N/A,SKU006,13.93,1012,42,47.48,1
2026-04-16,Google Ads,Search - Brand,N/A,SKU004,41.56,3929,117,324.0,8
2026-04-17,Google Ads,Search - Brand,N/A,SKU001,35.33,2230,105,377.1,9
2026-04-18,Google Ads,Search - Brand,N/A,SKU007,10.54,1133,55,10.83,0
2026-04-19,Google Ads,Search - Brand,N/A,SKU001,14.57,1003,27,67.52,2
2026-04-20,Google Ads,Search - Brand,N/A,SKU003,13.46,924,25,33.16,1
2026-04-21,Google Ads,Search - Brand,N/A,SKU002,10.4,694,26,3.17,0
2026-04-22,Google Ads,Search - Brand,N/A,SKU003,9.75,1051,55,104.62,2
2026-04-23,Google Ads,Search - Brand,N/A,SKU003,54.63,3546,115,423.1,10
2026-04-24,Google Ads,Search - Brand,N/A,SKU002,21.25,1775,50,239.15,6
2026-04-25,Google Ads,Search - Brand,N/A,SKU011,65.83,4421,231,753.71,18
2026-04-26,Google Ads,Search - Brand,N/A,SKU002,10.63,685,41,11.53,0
2026-04-27,Google Ads,Search - Brand,N/A,SKU005,8.66,721,29,76.51,2
2026-04-28,Google Ads,Search - Brand,N/A,SKU007,15.81,1717,54,164.8,4
2026-04-29,Google Ads,Search - Brand,N/A,SKU002,12.74,1389,39,11.21,0
2026-04-30,Google Ads,Search - Brand,N/A,SKU005,14.6,1343,73,7.68,0
2026-05-01,Google Ads,Search - Brand,N/A,SKU008,22.75,1983,97,221.5,5
2026-05-02,Google Ads,Search - Brand,N/A,SKU001,16.65,1773,85,141.7,3
2026-05-03,Google Ads,Search - Brand,N/A,SKU006,29.05,2578,80,242.38,6
2026-05-04,Google Ads,Search - Brand,N/A,SKU001,29.43,2640,121,295.48,7
2026-05-05,Google Ads,Search - Brand,N/A,SKU007,11.54,846,34,70.79,2
2026-05-06,Google Ads,Search - Brand,N/A,SKU004,25.84,2628,115,316.0,8
2026-05-07,Google Ads,Search - Brand,N/A,SKU005,11.77,948,30,116.58,3
2026-05-08,Google Ads,Search - Brand,N/A,SKU008,22.32,1732,62,253.68,6
2026-05-09,Google Ads,Search - Brand,N/A,SKU007,15.39,1035,52,176.27,4
2026-05-10,Google Ads,Search - Brand,N/A,SKU002,17.08,1476,64,252.4,6
2026-05-11,Google Ads,Search - Brand,N/A,SKU011,9.71,708,33,123.19,3
2026-05-12,Google Ads,Search - Brand,N/A,SKU010,27.19,1749,84,294.54,7
2026-05-13,Google Ads,Search - Brand,N/A,SKU006,22.31,1719,85,224.98,5
2026-05-14,Google Ads,Search - Brand,N/A,SKU012,31.8,2281,78,326.31,8
2026-05-15,Google Ads,Search - Brand,N/A,SKU009,14.59,1393,75,79.1,2
2026-05-16,Google Ads,Search - Brand,N/A,SKU007,12.11,1006,44,67.71,2
2026-05-17,Google Ads,Search - Brand,N/A,SKU010,12.04,1088,42,56.95,1
2026-05-18,Google Ads,Search - Brand,N/A,SKU001,9.94,694,27,73.65,2
2026-05-19,Google Ads,Search - Brand,N/A,SKU004,59.13,3825,118,612.38,15
2026-05-20,Google Ads,Search - Brand,N/A,SKU008,15.09,1280,47,155.86,4
2026-05-21,Google Ads,Search - Brand,N/A,SKU001,50.59,3217,82,495.11,12
2026-05-22,Google Ads,Search - Brand,N/A,SKU008,19.42,1234,72,157.61,4
2026-05-23,Google Ads,Search - Brand,N/A,SKU005,11.29,989,40,76.6,2
2026-05-24,Google Ads,Search - Brand,N/A,SKU001,11.64,733,32,30.72,1
2026-05-25,Google Ads,Search - Brand,N/A,SKU010,11.83,1235,60,105.54,3
2026-05-26,Google Ads,Search - Brand,N/A,SKU011,23.55,1802,105,214.18,5
2026-05-27,Google Ads,Search - Brand,N/A,SKU002,23.76,2533,87,347.45,8
2026-05-28,Google Ads,Search - Brand,N/A,SKU003,24.11,1673,74,261.57,6
2026-05-29,Google Ads,Search - Brand,N/A,SKU006,16.82,1087,42,152.42,4
2026-05-30,Google Ads,Search - Brand,N/A,SKU005,19.1,1590,68,246.57,6
2026-05-31,Google Ads,Search - Brand,N/A,SKU001,71.08,6866,181,795.51,19
2026-06-01,Google Ads,Search - Brand,N/A,SKU010,12.64,920,29,9.93,0
2026-06-02,Google Ads,Search - Brand,N/A,SKU012,10.97,728,24,80.83,2
2026-06-03,Google Ads,Search - Brand,N/A,SKU009,10.46,1159,66,125.48,3
2026-06-04,Google Ads,Search - Brand,N/A,SKU002,12.95,820,47,164.29,4
2026-06-05,Google Ads,Search - Brand,N/A,SKU001,10.53,766,28,8.21,0
2026-06-06,Google Ads,Search - Brand,N/A,SKU002,9.26,595,24,31.91,1
2026-06-07,Google Ads,Search - Brand,N/A,SKU003,12.75,1023,30,12.13,0
2026-06-08,Google Ads,Search - Brand,N/A,SKU001,11.34,1057,45,7.85,0
2026-06-09,Google Ads,Search - Brand,N/A,SKU001,9.88,885,44,64.6,2
2026-06-10,Google Ads,Search - Brand,N/A,SKU007,11.94,963,34,31.46,1
2026-06-11,Google Ads,Search - Brand,N/A,SKU005,46.82,4011,218,463.57,11
2026-06-12,Google Ads,Search - Brand,N/A,SKU008,43.78,4683,133,370.89,9
2026-06-13,Google Ads,Search - Brand,N/A,SKU007,17.92,1430,47,235.73,6
2026-06-14,Google Ads,Search - Brand,N/A,SKU004,11.15,698,41,9.28,0
2026-06-15,Google Ads,Search - Brand,N/A,SKU006,28.61,1798,106,301.19,7
2026-06-16,Google Ads,Search - Brand,N/A,SKU008,20.06,2063,91,307.77,7
2026-06-17,Google Ads,Search - Brand,N/A,SKU001,48.83,4791,224,440.53,10
2026-06-18,Google Ads,Search - Brand,N/A,SKU012,11.93,1225,40,79.98,2
2026-06-19,Google Ads,Search - Brand,N/A,SKU001,10.6,666,38,61.33,1
2026-06-20,Google Ads,Search - Brand,N/A,SKU008,13.59,1306,62,176.59,4
2026-06-21,Google Ads,Search - Brand,N/A,SKU004,35.46,2637,116,346.09,8
2026-06-22,Google Ads,Search - Brand,N/A,SKU003,16.47,1442,66,181.41,4
2026-06-23,Google Ads,Search - Brand,N/A,SKU001,20.76,1771,77,228.61,5
2026-06-24,Google Ads,Search - Brand,N/A,SKU001,13.62,1472,48,4.92,0
2026-06-25,Google Ads,Search - Brand,N/A,SKU003,12.1,768,35,43.3,1
2026-06-26,Google Ads,Search - Brand,N/A,SKU006,14.5,1250,46,109.2,3
2026-06-27,Google Ads,Search - Brand,N/A,SKU004,14.62,1148,48,35.7,1
2026-06-28,Google Ads,Search - Brand,N/A,SKU001,15.97,1352,77,197.5,5
2026-06-29,Google Ads,Search - Brand,N/A,SKU004,23.72,1707,88,221.24,5
2026-06-30,Google Ads,Search - Brand,N/A,SKU005,37.29,3121,149,511.24,12
2026-07-01,Google Ads,Search - Brand,N/A,SKU002,16.82,1122,47,209.98,5
2026-07-02,Google Ads,Search - Brand,N/A,SKU009,10.97,787,42,100.36,2
2026-07-03,Google Ads,Search - Brand,N/A,SKU007,22.17,1853,103,268.6,6
2026-07-04,Google Ads,Search - Brand,N/A,SKU010,29.95,2881,72,272.3,6
2026-07-05,Google Ads,Search - Brand,N/A,SKU008,13.12,1402,54,162.02,4
2026-07-06,Google Ads,Search - Brand,N/A,SKU011,13.26,835,46,44.87,1
2026-07-07,Google Ads,Search - Brand,N/A,SKU008,27.69,2713,110,369.14,9
2026-07-08,Google Ads,Search - Brand,N/A,SKU004,12.28,1010,56,92.44,2
2026-07-09,Google Ads,Search - Brand,N/A,SKU001,18.84,1908,107,191.56,5
2026-07-10,Google Ads,Search - Brand,N/A,SKU001,11.35,1233,65,60.76,1
2026-07-11,Google Ads,Search - Brand,N/A,SKU002,30.79,2367,91,261.19,6
2026-07-12,Google Ads,Search - Brand,N/A,SKU004,10.95,783,28,47.41,1
2026-07-13,Google Ads,Search - Brand,N/A,SKU009,15.14,1488,40,201.47,5
2026-07-14,Google Ads,Search - Brand,N/A,SKU006,15.05,1151,38,141.86,3
2026-07-15,Google Ads,Search - Brand,N/A,SKU007,18.82,1497,61,185.48,4
2026-07-16,Google Ads,Search - Brand,N/A,SKU009,15.94,1235,64,211.16,5
2026-07-17,Google Ads,Search - Brand,N/A,SKU011,10.27,681,40,118.22,3
2026-07-18,Google Ads,Search - Brand,N/A,SKU004,19.59,1334,49,232.6,6
2026-07-19,Google Ads,Search - Brand,N/A,SKU003,14.1,1207,52,109.41,3
2026-07-20,Google Ads,Search - Brand,N/A,SKU002,32.37,2482,119,448.64,11
2026-07-21,Google Ads,Search - Brand,N/A,SKU006,11.0,1053,40,7.86,0
2026-07-22,Google Ads,Search - Brand,N/A,SKU008,8.73,735,19,82.49,2
2026-07-23,Google Ads,Search - Brand,N/A,SKU004,13.17,1265,34,58.35,1
2026-07-24,Google Ads,Search - Brand,N/A,SKU008,10.16,898,34,34.31,1
2026-07-25,Google Ads,Search - Brand,N/A,SKU011,34.56,2287,69,364.59,9
2026-07-26,Google Ads,Search - Brand,N/A,SKU009,10.68,746,28,10.86,0
2026-07-27,Google Ads,Search - Brand,N/A,SKU006,18.62,1202,39,186.08,4
2026-07-28,Google Ads,Search - Brand,N/A,SKU001,14.45,1046,33,11.39,0
