customer_id,first_order_date,acquisition_channel,acquisition_campaign,region,device
CUST000029,2025-09-15,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000030,2025-09-15,Organic Social,(organic social),South,Mobile
CUST000031,2025-09-15,Organic Social,(organic social),Northeast,Mobile
CUST000032,2025-09-15,Meta Ads,Retargeting - Cart Abandon,South,Mobile
CUST000033,2025-09-15,Organic Social,(organic social),Midwest,Desktop
CUST000034,2025-09-15,Unattributed,(not set),West,Tablet
CUST000035,2025-09-15,Unattributed,(not set),Midwest,Mobile
CUST000036,2025-09-15,Direct,(direct),West,Desktop
CUST000037,2025-09-15,Email/SMS,Campaign - Monthly Newsletter,South,Desktop
CUST000038,2025-09-15,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000039,2025-09-15,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000040,2025-09-15,Organic Search,(organic),South,Mobile
CUST000041,2025-09-15,Organic Social,(organic social),West,Desktop
CUST000042,2025-09-15,Organic Search,(organic),West,Mobile
CUST000043,2025-09-15,Direct,(direct),Northeast,Mobile
CUST000044,2025-09-15,Organic Search,(organic),Midwest,Desktop
CUST000045,2025-09-16,Meta Ads,Prospecting - Lookalike 1%,West,Desktop
CUST000046,2025-09-16,Direct,(direct),Midwest,Mobile
CUST000047,2025-09-16,Meta Ads,Prospecting - Lookalike 1%,Northeast,Mobile
CUST000048,2025-09-16,Email/SMS,Campaign - Monthly Newsletter,West,Mobile
CUST000049,2025-09-16,Meta Ads,Prospecting - Broad,Midwest,Mobile
CUST000050,2025-09-16,Google Ads,Search - Nonbrand Skincare,Midwest,Desktop
CUST000051,2025-09-16,Google Ads,Search - Brand,Midwest,Mobile
CUST000052,2025-09-16,Email/SMS,Flow - Welcome Series,Midwest,Desktop
CUST000053,2025-09-16,Email/SMS,Flow - Welcome Series,West,Mobile
CUST000054,2025-09-16,Meta Ads,Prospecting - Broad,Northeast,Tablet
CUST000055,2025-09-16,Google Ads,Search - Brand,Midwest,Mobile
CUST000056,2025-09-16,Organic Search,(organic),South,Mobile
CUST000057,2025-09-16,Meta Ads,Prospecting - Broad,Midwest,Mobile
CUST000058,2025-09-16,Meta Ads,Prospecting - Lookalike 1%,Northeast,Mobile
CUST000059,2025-09-16,Meta Ads,Retargeting - Cart Abandon,South,Tablet
CUST000060,2025-09-16,Google Ads,Shopping - Bestsellers,Northeast,Desktop
CUST000061,2025-09-16,Google Ads,PMax - Skincare Prospecting,Midwest,Mobile
CUST000062,2025-09-16,Organic Search,(organic),Midwest,Mobile
CUST000063,2025-09-16,Meta Ads,Retargeting - Engaged 30d,Northeast,Mobile
CUST000064,2025-09-16,Meta Ads,Prospecting - Broad,West,Desktop
CUST000065,2025-09-16,Organic Social,(organic social),South,Desktop
CUST000066,2025-09-17,Meta Ads,Retargeting - Cart Abandon,Midwest,Desktop
CUST000067,2025-09-17,Meta Ads,Retargeting - Cart Abandon,South,Mobile
CUST000068,2025-09-17,Meta Ads,Retargeting - Engaged 30d,West,Desktop
CUST000069,2025-09-17,Unattributed,(not set),South,Mobile
CUST000070,2025-09-17,Organic Search,(organic),Northeast,Desktop
CUST000071,2025-09-17,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000072,2025-09-17,Unattributed,(not set),South,Mobile
CUST000073,2025-09-17,Google Ads,PMax - Skincare Prospecting,West,Desktop
CUST000074,2025-09-17,Meta Ads,Prospecting - Lookalike 1%,Northeast,Mobile
CUST000075,2025-09-17,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000076,2025-09-17,Direct,(direct),South,Mobile
CUST000077,2025-09-17,Unattributed,(not set),Northeast,Mobile
CUST000078,2025-09-17,Google Ads,PMax - Skincare Prospecting,Midwest,Tablet
CUST000079,2025-09-17,Email/SMS,Flow - Post Purchase Winback,West,Mobile
CUST000080,2025-09-17,Meta Ads,Prospecting - Lookalike 1%,West,Mobile
CUST000081,2025-09-17,Organic Search,(organic),Northeast,Mobile
CUST000082,2025-09-17,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000083,2025-09-17,Meta Ads,Retargeting - Engaged 30d,Midwest,Desktop
CUST000084,2025-09-17,Google Ads,PMax - Skincare Prospecting,South,Desktop
CUST000085,2025-09-17,Meta Ads,Prospecting - Broad,West,Mobile
CUST000086,2025-09-17,Meta Ads,Retargeting - Engaged 30d,South,Mobile
CUST000087,2025-09-17,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000088,2025-09-17,Meta Ads,Prospecting - Broad,Northeast,Desktop
CUST000089,2025-09-17,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000090,2025-09-17,Meta Ads,Retargeting - Cart Abandon,Northeast,Mobile
CUST000091,2025-09-18,Meta Ads,Prospecting - Lookalike 1%,South,Desktop
CUST000092,2025-09-18,Google Ads,Shopping - Bestsellers,Northeast,Desktop
CUST000093,2025-09-18,Google Ads,PMax - Skincare Prospecting,West,Desktop
CUST000094,2025-09-18,Google Ads,Search - Brand,West,Desktop
CUST000095,2025-09-18,Google Ads,Search - Brand,Northeast,Mobile
CUST000096,2025-09-18,Meta Ads,Retargeting - Cart Abandon,West,Mobile
CUST000097,2025-09-18,Direct,(direct),South,Desktop
CUST000098,2025-09-18,Direct,(direct),Midwest,Mobile
CUST000099,2025-09-18,Meta Ads,Prospecting - Lookalike 1%,Midwest,Desktop
CUST000100,2025-09-18,Meta Ads,Retargeting - Cart Abandon,South,Mobile
CUST000101,2025-09-18,Direct,(direct),South,Mobile
CUST000102,2025-09-18,Organic Search,(organic),Midwest,Mobile
CUST000103,2025-09-18,Meta Ads,Prospecting - Lookalike 1%,Midwest,Mobile
CUST000104,2025-09-18,Direct,(direct),South,Mobile
CUST000105,2025-09-18,Google Ads,PMax - Skincare Prospecting,South,Desktop
CUST000106,2025-09-18,Meta Ads,Prospecting - Lookalike 1%,West,Mobile
CUST000107,2025-09-18,Organic Social,(organic social),West,Desktop
CUST000108,2025-09-18,Direct,(direct),Midwest,Mobile
CUST000109,2025-09-18,Google Ads,PMax - Skincare Prospecting,South,Desktop
CUST000110,2025-09-18,Direct,(direct),Midwest,Mobile
CUST000111,2025-09-18,Google Ads,PMax - Skincare Prospecting,West,Desktop
CUST000112,2025-09-18,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000113,2025-09-18,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000114,2025-09-18,Unattributed,(not set),West,Mobile
CUST000115,2025-09-19,Google Ads,Search - Nonbrand Skincare,Midwest,Mobile
CUST000116,2025-09-19,Meta Ads,Prospecting - Lookalike 1%,West,Mobile
CUST000117,2025-09-19,Google Ads,PMax - Skincare Prospecting,South,Mobile
CUST000118,2025-09-19,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000119,2025-09-19,Organic Social,(organic social),South,Mobile
CUST000120,2025-09-19,Meta Ads,Retargeting - Cart Abandon,Northeast,Mobile
CUST000121,2025-09-19,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000122,2025-09-19,Email/SMS,Flow - Abandoned Cart,Northeast,Desktop
CUST000123,2025-09-19,Meta Ads,Prospecting - Lookalike 1%,South,Mobile
CUST000124,2025-09-19,Google Ads,Search - Brand,Midwest,Mobile
CUST000125,2025-09-19,Google Ads,Search - Brand,West,Mobile
CUST000126,2025-09-19,Google Ads,PMax - Skincare Prospecting,Midwest,Mobile
CUST000127,2025-09-19,Direct,(direct),West,Mobile
CUST000128,2025-09-19,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000129,2025-09-19,Organic Search,(organic),Northeast,Mobile
CUST000130,2025-09-19,Google Ads,PMax - Skincare Prospecting,West,Tablet
CUST000131,2025-09-19,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000132,2025-09-19,Meta Ads,Prospecting - Broad,South,Mobile
CUST000133,2025-09-19,Organic Search,(organic),Midwest,Desktop
CUST000134,2025-09-19,Organic Search,(organic),Midwest,Mobile
CUST000135,2025-09-19,Meta Ads,Retargeting - Engaged 30d,South,Mobile
CUST000136,2025-09-19,Meta Ads,Retargeting - Cart Abandon,Northeast,Tablet
CUST000137,2025-09-19,Meta Ads,Retargeting - Cart Abandon,West,Mobile
CUST000138,2025-09-20,Meta Ads,Retargeting - Engaged 30d,South,Mobile
CUST000139,2025-09-20,Google Ads,Shopping - Bestsellers,Midwest,Mobile
CUST000140,2025-09-20,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000141,2025-09-20,Organic Social,(organic social),West,Mobile
CUST000142,2025-09-20,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000143,2025-09-20,Meta Ads,Prospecting - Broad,Midwest,Mobile
CUST000144,2025-09-20,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000145,2025-09-20,Meta Ads,Prospecting - Lookalike 1%,West,Desktop
CUST000146,2025-09-20,Organic Social,(organic social),South,Mobile
CUST000147,2025-09-20,Direct,(direct),West,Mobile
CUST000148,2025-09-20,Direct,(direct),Midwest,Mobile
CUST000149,2025-09-20,Direct,(direct),Northeast,Desktop
CUST000150,2025-09-20,Email/SMS,Flow - Welcome Series,Midwest,Mobile
CUST000151,2025-09-20,Meta Ads,Prospecting - Broad,West,Mobile
CUST000152,2025-09-20,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000153,2025-09-20,Meta Ads,Prospecting - Lookalike 1%,Midwest,Mobile
CUST000154,2025-09-20,Meta Ads,Retargeting - Engaged 30d,West,Desktop
CUST000155,2025-09-20,Meta Ads,Retargeting - Engaged 30d,South,Desktop
CUST000156,2025-09-20,Organic Social,(organic social),Midwest,Mobile
CUST000157,2025-09-20,Meta Ads,Prospecting - Lookalike 1%,South,Mobile
CUST000158,2025-09-20,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000159,2025-09-20,Meta Ads,Retargeting - Cart Abandon,Midwest,Tablet
CUST000160,2025-09-20,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000161,2025-09-20,Organic Search,(organic),Northeast,Desktop
CUST000162,2025-09-20,Organic Social,(organic social),South,Desktop
CUST000163,2025-09-21,Meta Ads,Retargeting - Cart Abandon,West,Desktop
CUST000164,2025-09-21,Organic Search,(organic),West,Desktop
CUST000165,2025-09-21,Meta Ads,Retargeting - Engaged 30d,South,Mobile
CUST000166,2025-09-21,Meta Ads,Retargeting - Engaged 30d,South,Desktop
CUST000167,2025-09-21,Organic Search,(organic),West,Mobile
CUST000168,2025-09-21,Meta Ads,Prospecting - Lookalike 1%,West,Mobile
CUST000169,2025-09-21,Meta Ads,Prospecting - Lookalike 1%,South,Desktop
CUST000170,2025-09-21,Meta Ads,Retargeting - Cart Abandon,South,Mobile
CUST000171,2025-09-21,Meta Ads,Retargeting - Engaged 30d,Northeast,Mobile
CUST000172,2025-09-21,Organic Search,(organic),Midwest,Tablet
CUST000173,2025-09-21,Email/SMS,Flow - Post Purchase Winback,West,Mobile
CUST000174,2025-09-21,Organic Search,(organic),South,Desktop
CUST000175,2025-09-21,Google Ads,Search - Brand,South,Mobile
CUST000176,2025-09-21,Meta Ads,Prospecting - Broad,West,Desktop
CUST000177,2025-09-21,Organic Social,(organic social),West,Tablet
CUST000178,2025-09-21,Google Ads,PMax - Skincare Prospecting,West,Desktop
CUST000179,2025-09-21,Meta Ads,Prospecting - Lookalike 1%,West,Desktop
CUST000180,2025-09-21,Direct,(direct),West,Mobile
CUST000181,2025-09-21,Google Ads,Search - Brand,West,Desktop
CUST000182,2025-09-21,Meta Ads,Retargeting - Engaged 30d,South,Mobile
CUST000183,2025-09-21,Organic Search,(organic),South,Mobile
CUST000184,2025-09-21,Meta Ads,Prospecting - Broad,South,Desktop
CUST000185,2025-09-21,Email/SMS,Campaign - Monthly Newsletter,West,Mobile
CUST000186,2025-09-21,Direct,(direct),Northeast,Mobile
CUST000187,2025-09-21,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000188,2025-09-21,Meta Ads,Prospecting - Broad,Northeast,Desktop
CUST000189,2025-09-21,Meta Ads,Retargeting - Cart Abandon,West,Mobile
CUST000190,2025-09-22,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000191,2025-09-22,Organic Social,(organic social),West,Desktop
CUST000192,2025-09-22,Google Ads,PMax - Skincare Prospecting,Northeast,Mobile
CUST000193,2025-09-22,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000194,2025-09-22,Google Ads,Shopping - Bestsellers,Northeast,Mobile
CUST000195,2025-09-22,Direct,(direct),South,Desktop
CUST000196,2025-09-22,Direct,(direct),Midwest,Mobile
CUST000197,2025-09-22,Organic Social,(organic social),South,Desktop
CUST000198,2025-09-22,Email/SMS,Flow - Post Purchase Winback,West,Mobile
CUST000199,2025-09-22,Meta Ads,Retargeting - Cart Abandon,West,Desktop
CUST000200,2025-09-22,Meta Ads,Prospecting - Broad,West,Mobile
CUST000201,2025-09-22,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000202,2025-09-22,Meta Ads,Prospecting - Broad,Midwest,Mobile
CUST000203,2025-09-22,Meta Ads,Prospecting - Broad,South,Mobile
CUST000204,2025-09-22,Organic Search,(organic),West,Mobile
CUST000205,2025-09-22,Meta Ads,Retargeting - Cart Abandon,South,Mobile
CUST000206,2025-09-22,Direct,(direct),West,Tablet
CUST000207,2025-09-22,Google Ads,Shopping - Bestsellers,South,Desktop
CUST000208,2025-09-23,Meta Ads,Prospecting - Broad,Midwest,Mobile
CUST000209,2025-09-23,Organic Search,(organic),South,Mobile
CUST000210,2025-09-23,Unattributed,(not set),Northeast,Mobile
CUST000211,2025-09-23,Meta Ads,Retargeting - Engaged 30d,South,Desktop
CUST000212,2025-09-23,Organic Search,(organic),West,Mobile
CUST000213,2025-09-23,Meta Ads,Prospecting - Lookalike 1%,Northeast,Mobile
CUST000214,2025-09-23,Organic Search,(organic),Northeast,Tablet
CUST000215,2025-09-23,Google Ads,Shopping - Bestsellers,South,Mobile
CUST000216,2025-09-23,Google Ads,Search - Brand,South,Mobile
CUST000217,2025-09-23,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000218,2025-09-23,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000219,2025-09-23,Meta Ads,Prospecting - Lookalike 1%,West,Mobile
CUST000220,2025-09-23,Organic Social,(organic social),Northeast,Mobile
CUST000221,2025-09-23,Google Ads,Shopping - Bestsellers,West,Desktop
CUST000222,2025-09-23,Organic Social,(organic social),Midwest,Mobile
CUST000223,2025-09-23,Google Ads,Search - Brand,Midwest,Mobile
CUST000224,2025-09-23,Organic Social,(organic social),West,Desktop
CUST000225,2025-09-23,Google Ads,Search - Nonbrand Skincare,Northeast,Mobile
CUST000226,2025-09-23,Organic Search,(organic),South,Mobile
CUST000227,2025-09-23,Google Ads,Shopping - Bestsellers,South,Desktop
CUST000228,2025-09-23,Direct,(direct),West,Desktop
CUST000229,2025-09-23,Google Ads,PMax - Skincare Prospecting,West,Desktop
CUST000230,2025-09-23,Meta Ads,Prospecting - Broad,West,Mobile
CUST000231,2025-09-23,Unattributed,(not set),West,Desktop
CUST000232,2025-09-24,Unattributed,(not set),Midwest,Mobile
CUST000233,2025-09-24,Organic Social,(organic social),Midwest,Desktop
CUST000234,2025-09-24,Organic Search,(organic),South,Mobile
CUST000235,2025-09-24,Meta Ads,Prospecting - Broad,West,Mobile
CUST000236,2025-09-24,Organic Search,(organic),South,Tablet
CUST000237,2025-09-24,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000238,2025-09-24,Meta Ads,Prospecting - Broad,West,Mobile
CUST000239,2025-09-24,Direct,(direct),South,Desktop
CUST000240,2025-09-24,Google Ads,Shopping - Bestsellers,West,Desktop
CUST000241,2025-09-24,Direct,(direct),South,Mobile
CUST000242,2025-09-24,Organic Search,(organic),Midwest,Mobile
CUST000243,2025-09-24,Google Ads,PMax - Skincare Prospecting,West,Mobile
CUST000244,2025-09-24,Google Ads,PMax - Skincare Prospecting,West,Mobile
CUST000245,2025-09-24,Organic Search,(organic),South,Mobile
CUST000246,2025-09-24,Direct,(direct),Midwest,Mobile
CUST000247,2025-09-24,Google Ads,Search - Brand,South,Mobile
CUST000248,2025-09-24,Meta Ads,Prospecting - Lookalike 1%,Midwest,Mobile
CUST000249,2025-09-24,Google Ads,PMax - Skincare Prospecting,Northeast,Desktop
CUST000250,2025-09-24,Google Ads,Shopping - Bestsellers,Midwest,Mobile
CUST000251,2025-09-24,Unattributed,(not set),Midwest,Mobile
CUST000252,2025-09-24,Organic Search,(organic),Northeast,Mobile
CUST000253,2025-09-24,Organic Search,(organic),Northeast,Desktop
CUST000254,2025-09-24,Google Ads,Search - Brand,West,Desktop
CUST000255,2025-09-24,Organic Search,(organic),Northeast,Mobile
CUST000256,2025-09-24,Meta Ads,Prospecting - Lookalike 1%,South,Mobile
CUST000257,2025-09-25,Meta Ads,Prospecting - Broad,West,Mobile
CUST000258,2025-09-25,Meta Ads,Retargeting - Cart Abandon,Northeast,Desktop
CUST000259,2025-09-25,Organic Social,(organic social),Northeast,Mobile
CUST000260,2025-09-25,Meta Ads,Prospecting - Lookalike 1%,Northeast,Desktop
CUST000261,2025-09-25,Google Ads,PMax - Skincare Prospecting,West,Mobile
CUST000262,2025-09-25,Google Ads,Search - Nonbrand Skincare,South,Mobile
CUST000263,2025-09-25,Meta Ads,Prospecting - Lookalike 1%,West,Mobile
CUST000264,2025-09-25,Google Ads,Shopping - Bestsellers,South,Mobile
CUST000265,2025-09-25,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000266,2025-09-25,Organic Search,(organic),Midwest,Mobile
CUST000267,2025-09-25,Organic Search,(organic),Northeast,Mobile
CUST000268,2025-09-25,Organic Search,(organic),Midwest,Mobile
CUST000269,2025-09-25,Meta Ads,Retargeting - Engaged 30d,West,Desktop
CUST000270,2025-09-25,Direct,(direct),West,Desktop
CUST000271,2025-09-25,Meta Ads,Retargeting - Engaged 30d,Midwest,Desktop
CUST000272,2025-09-25,Google Ads,Shopping - Bestsellers,Northeast,Mobile
CUST000273,2025-09-25,Organic Search,(organic),South,Mobile
CUST000274,2025-09-25,Organic Search,(organic),West,Desktop
CUST000275,2025-09-25,Meta Ads,Retargeting - Engaged 30d,Midwest,Mobile
CUST000276,2025-09-25,Google Ads,Shopping - Bestsellers,West,Mobile
CUST000277,2025-09-25,Google Ads,Search - Brand,West,Mobile
CUST000278,2025-09-26,Google Ads,Search - Nonbrand Skincare,Midwest,Mobile
CUST000279,2025-09-26,Email/SMS,Flow - Welcome Series,South,Mobile
CUST000280,2025-09-26,Organic Search,(organic),Northeast,Desktop
CUST000281,2025-09-26,Google Ads,PMax - Skincare Prospecting,South,Mobile
CUST000282,2025-09-26,Meta Ads,Prospecting - Broad,Northeast,Mobile
CUST000283,2025-09-26,Meta Ads,Prospecting - Lookalike 1%,West,Mobile
CUST000284,2025-09-26,Meta Ads,Retargeting - Engaged 30d,South,Mobile
CUST000285,2025-09-26,Meta Ads,Retargeting - Engaged 30d,Midwest,Mobile
CUST000286,2025-09-26,Direct,(direct),South,Desktop
CUST000287,2025-09-26,Organic Search,(organic),South,Tablet
CUST000288,2025-09-26,Google Ads,Shopping - Bestsellers,Midwest,Desktop
CUST000289,2025-09-26,Meta Ads,Prospecting - Broad,South,Mobile
CUST000290,2025-09-26,Google Ads,PMax - Skincare Prospecting,Midwest,Desktop
CUST000291,2025-09-26,Google Ads,Shopping - Bestsellers,Midwest,Desktop
CUST000292,2025-09-26,Direct,(direct),Northeast,Desktop
CUST000293,2025-09-26,Organic Search,(organic),Northeast,Mobile
CUST000294,2025-09-26,Email/SMS,Flow - Welcome Series,Northeast,Mobile
CUST000295,2025-09-26,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000296,2025-09-26,Email/SMS,Campaign - Monthly Newsletter,South,Mobile
CUST000297,2025-09-26,Meta Ads,Retargeting - Engaged 30d,Northeast,Desktop
CUST000298,2025-09-26,Organic Search,(organic),Northeast,Mobile
CUST000299,2025-09-26,Meta Ads,Retargeting - Engaged 30d,South,Mobile
CUST000300,2025-09-26,Google Ads,Shopping - Bestsellers,Midwest,Mobile
CUST000301,2025-09-26,Meta Ads,Retargeting - Cart Abandon,West,Mobile
CUST000302,2025-09-27,Google Ads,Shopping - Bestsellers,Northeast,Mobile
CUST000303,2025-09-27,Google Ads,Search - Brand,Northeast,Mobile
CUST000304,2025-09-27,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000305,2025-09-27,Meta Ads,Prospecting - Broad,Northeast,Mobile
CUST000306,2025-09-27,Meta Ads,Prospecting - Broad,Northeast,Desktop
CUST000307,2025-09-27,Meta Ads,Retargeting - Engaged 30d,Midwest,Mobile
CUST000308,2025-09-27,Organic Search,(organic),South,Mobile
CUST000309,2025-09-27,Meta Ads,Retargeting - Cart Abandon,Midwest,Mobile
CUST000310,2025-09-27,Google Ads,Search - Nonbrand Skincare,Northeast,Mobile
CUST000311,2025-09-27,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000312,2025-09-27,Meta Ads,Retargeting - Cart Abandon,West,Desktop
CUST000313,2025-09-27,Organic Social,(organic social),Northeast,Mobile
CUST000314,2025-09-27,Direct,(direct),Northeast,Desktop
CUST000315,2025-09-27,Email/SMS,Flow - Post Purchase Winback,Midwest,Mobile
CUST000316,2025-09-27,Meta Ads,Retargeting - Engaged 30d,Northeast,Tablet
CUST000317,2025-09-27,Meta Ads,Retargeting - Engaged 30d,Northeast,Mobile
CUST000318,2025-09-27,Meta Ads,Retargeting - Engaged 30d,South,Desktop
CUST000319,2025-09-27,Organic Search,(organic),Northeast,Desktop
CUST000320,2025-09-27,Organic Social,(organic social),West,Desktop
CUST000321,2025-09-27,Google Ads,Search - Brand,West,Mobile
CUST000322,2025-09-27,Organic Search,(organic),South,Mobile
CUST000323,2025-09-27,Unattributed,(not set),South,Mobile
CUST000324,2025-09-27,Meta Ads,Retargeting - Cart Abandon,Midwest,Mobile
CUST000325,2025-09-27,Organic Social,(organic social),Northeast,Desktop
CUST000326,2025-09-27,Organic Search,(organic),Midwest,Desktop
CUST000327,2025-09-27,Google Ads,Search - Brand,West,Mobile
CUST000328,2025-09-27,Google Ads,Search - Nonbrand Skincare,Midwest,Mobile
CUST000329,2025-09-27,Unattributed,(not set),West,Tablet
CUST000330,2025-09-28,Organic Social,(organic social),Northeast,Desktop
CUST000331,2025-09-28,Google Ads,Shopping - Bestsellers,South,Mobile
CUST000332,2025-09-28,Direct,(direct),West,Mobile
CUST000333,2025-09-28,Organic Search,(organic),West,Mobile
CUST000334,2025-09-28,Organic Search,(organic),South,Tablet
CUST000335,2025-09-28,Organic Social,(organic social),Northeast,Mobile
CUST000336,2025-09-28,Meta Ads,Prospecting - Lookalike 1%,Midwest,Desktop
CUST000337,2025-09-28,Organic Search,(organic),South,Tablet
CUST000338,2025-09-28,Meta Ads,Retargeting - Engaged 30d,Midwest,Desktop
CUST000339,2025-09-28,Meta Ads,Retargeting - Cart Abandon,West,Mobile
CUST000340,2025-09-28,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000341,2025-09-28,Organic Search,(organic),South,Mobile
CUST000342,2025-09-28,Google Ads,Shopping - Bestsellers,Northeast,Mobile
CUST000343,2025-09-28,Meta Ads,Prospecting - Lookalike 1%,West,Desktop
CUST000344,2025-09-28,Direct,(direct),Midwest,Desktop
CUST000345,2025-09-28,Meta Ads,Prospecting - Lookalike 1%,Midwest,Mobile
CUST000346,2025-09-28,Direct,(direct),South,Mobile
CUST000347,2025-09-28,Google Ads,Search - Nonbrand Skincare,Northeast,Desktop
CUST000348,2025-09-28,Organic Search,(organic),Northeast,Desktop
CUST000349,2025-09-28,Organic Search,(organic),West,Mobile
CUST000350,2025-09-28,Unattributed,(not set),West,Desktop
CUST000351,2025-09-28,Meta Ads,Prospecting - Broad,Midwest,Mobile
CUST000352,2025-09-28,Organic Search,(organic),West,Desktop
CUST000353,2025-09-29,Direct,(direct),Northeast,Desktop
CUST000354,2025-09-29,Email/SMS,Flow - Post Purchase Winback,Midwest,Mobile
CUST000355,2025-09-29,Google Ads,Search - Brand,West,Mobile
CUST000356,2025-09-29,Direct,(direct),Northeast,Mobile
CUST000357,2025-09-29,Google Ads,Shopping - Bestsellers,Midwest,Desktop
CUST000358,2025-09-29,Organic Search,(organic),Northeast,Mobile
CUST000359,2025-09-29,Direct,(direct),West,Mobile
CUST000360,2025-09-29,Organic Search,(organic),West,Mobile
CUST000361,2025-09-29,Google Ads,Search - Brand,Midwest,Tablet
CUST000362,2025-09-29,Google Ads,Search - Brand,Northeast,Mobile
CUST000363,2025-09-29,Unattributed,(not set),South,Mobile
CUST000364,2025-09-29,Organic Search,(organic),Midwest,Desktop
CUST000365,2025-09-29,Meta Ads,Prospecting - Lookalike 1%,South,Desktop
CUST000366,2025-09-29,Google Ads,Search - Nonbrand Skincare,West,Mobile
CUST000367,2025-09-29,Meta Ads,Prospecting - Lookalike 1%,South,Desktop
CUST000368,2025-09-29,Google Ads,Shopping - Bestsellers,South,Mobile
CUST000369,2025-09-29,Meta Ads,Retargeting - Cart Abandon,Midwest,Mobile
CUST000370,2025-09-29,Google Ads,Shopping - Bestsellers,Northeast,Mobile
CUST000371,2025-09-30,Organic Search,(organic),Northeast,Tablet
CUST000372,2025-09-30,Meta Ads,Prospecting - Lookalike 1%,South,Mobile
CUST000373,2025-09-30,Meta Ads,Retargeting - Cart Abandon,Midwest,Mobile
CUST000374,2025-09-30,Direct,(direct),Northeast,Mobile
CUST000375,2025-09-30,Meta Ads,Retargeting - Engaged 30d,South,Desktop
CUST000376,2025-09-30,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000377,2025-09-30,Organic Social,(organic social),West,Mobile
