session_id,session_date,journey_id,customer_id,source,medium,campaign,utm_source,utm_medium,utm_campaign,device,landing_page,touch_position,touch_count,viewed_product,added_to_cart,began_checkout,is_purchase,transaction_id,revenue_ga4
SESS0000029,2025-09-05,ORD100021,CUST000018,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Desktop,/collections/all,1,4,True,False,False,False,,
SESS0000030,2025-09-04,ORD100021,CUST000018,Direct,(none),(direct),,(none),,Desktop,/products/mineral-sunscreen-spf-40,2,4,True,True,True,False,,
SESS0000031,2025-09-08,ORD100021,CUST000018,Organic Search,organic,(organic),,organic,,Desktop,/collections/bestsellers,3,4,True,True,False,False,,
SESS0000032,2025-09-14,ORD100021,CUST000018,Google Ads,cpc,PMax - Skincare Prospecting,google_ads,cpc,PMax - Skincare Prospecting,Desktop,/products/vitamin-c-serum,4,4,True,True,True,True,ORD100021,51.36
SESS0000033,2025-09-14,ORD100022,CUST000006,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Mobile,/collections/all,1,1,True,True,True,True,ORD100022,57.87
SESS0000034,2025-09-11,ORD100023,CUST000019,Organic Social,social,(organic social),organic_social,social,(organic social),Desktop,/collections/all,1,2,True,False,False,False,,
SESS0000035,2025-09-14,ORD100023,CUST000019,Google Ads,cpc,PMax - Skincare Prospecting,google_ads,cpc,PMax - Skincare Prospecting,Desktop,/products/retinol-renewal-serum,2,2,True,True,True,True,ORD100023,28.68
SESS0000036,2025-09-06,ORD100024,CUST000020,Meta Ads,paid_social,Retargeting - Cart Abandon,meta_ads,paid_social,Retargeting - Cart Abandon,Mobile,/collections/bestsellers,1,3,True,True,True,False,,
SESS0000037,2025-09-11,ORD100024,CUST000020,Organic Search,organic,(organic),,organic,,Mobile,/,2,3,True,True,True,False,,
SESS0000038,2025-09-14,ORD100024,CUST000020,Direct,(none),(direct),,(none),,Mobile,/collections/bestsellers,3,3,True,True,True,True,ORD100024,54.95
SESS0000039,2025-09-10,ORD100025,CUST000011,Direct,(none),(direct),,(none),,Desktop,/collections/bestsellers,1,4,True,False,True,False,,
SESS0000040,2025-09-13,ORD100025,CUST000011,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Desktop,/pages/about,2,4,True,True,True,False,,
SESS0000041,2025-09-09,ORD100025,CUST000011,Google Ads,cpc,PMax - Skincare Prospecting,google_ads,cpc,PMax - Skincare Prospecting,Desktop,/products/retinol-renewal-serum,3,4,True,False,False,False,,
SESS0000042,2025-09-14,ORD100025,CUST000011,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Desktop,/collections/all,4,4,True,True,True,True,ORD100025,37.07
SESS0000043,2025-09-06,ORD100026,CUST000021,Organic Social,social,(organic social),organic_social,social,(organic social),Mobile,/,1,2,True,False,False,False,,
SESS0000044,2025-09-14,ORD100026,CUST000021,Google Ads,cpc,Shopping - Bestsellers,google_ads,cpc,Shopping - Bestsellers,Mobile,/products/retinol-renewal-serum,2,2,True,True,True,True,ORD100026,112.0
SESS0000045,2025-09-14,ORD100027,CUST000022,Direct,(none),(direct),,(none),,Desktop,/collections/all,1,1,True,True,True,True,ORD100027,53.0
SESS0000046,2025-09-14,ORD100029,CUST000024,Organic Search,organic,(organic),,organic,,Mobile,/products/daily-barrier-moisturizer,1,1,True,True,True,True,ORD100029,28.95
SESS0000047,2025-09-09,ORD100030,CUST000025,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Desktop,/products/mineral-sunscreen-spf-40,1,4,True,False,False,False,,
SESS0000048,2025-09-06,ORD100030,CUST000025,Meta Ads,paid_social,Retargeting - Cart Abandon,meta_ads,paid_social,,Desktop,/collections/bestsellers,2,4,True,True,False,False,,
SESS0000049,2025-09-04,ORD100030,CUST000025,Meta Ads,paid_social,Prospecting - Lookalike 1%,meta_ads,paid_social,Prospecting - Lookalike 1%,Desktop,/,3,4,True,False,False,False,,
SESS0000050,2025-09-14,ORD100030,CUST000025,Organic Search,organic,(organic),,organic,,Desktop,/collections/all,4,4,True,True,True,True,ORD100030,30.95
SESS0000051,2025-09-14,ORD100032,CUST000016,Email/SMS,email,Flow - Abandoned Cart,email/sms,email,Flow - Abandoned Cart,Desktop,/collections/bestsellers,1,1,True,True,True,True,ORD100032,98.0
SESS0000052,2025-09-14,ORD100033,CUST000026,Organic Social,social,(organic social),organic_social,social,,Mobile,/pages/about,1,1,True,True,True,True,ORD100033,53.59
SESS0000053,2025-09-14,ORD100034,CUST000002,Unattributed,(not set),(not set),,(not set),,Desktop,/products/mineral-sunscreen-spf-40,1,1,True,True,True,True,ORD100034,55.53
SESS0000054,2025-09-11,ORD100035,CUST000003,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Desktop,/collections/all,1,2,True,True,True,False,,
SESS0000055,2025-09-14,ORD100035,CUST000003,Email/SMS,email,Campaign - Monthly Newsletter,email/sms,email,Campaign - Monthly Newsletter,Desktop,/collections/all,2,2,True,True,True,True,ORD100035,33.7
SESS0000056,2025-09-14,ORD100036,CUST000025,Email/SMS,email,Flow - Abandoned Cart,email/sms,email,Flow - Abandoned Cart,Desktop,/products/daily-barrier-moisturizer,1,1,True,True,True,True,ORD100036,82.69
SESS0000057,2025-09-04,ORD100038,CUST000027,Organic Social,social,(organic social),organic_social,social,(organic social),Desktop,/,1,2,True,False,False,False,,
SESS0000058,2025-09-15,ORD100038,CUST000027,Organic Social,social,(organic social),organic_social,social,(organic social),Desktop,/collections/skincare-sets,2,2,True,True,True,True,ORD100038,88.0
SESS0000059,2025-09-11,ORD100039,CUST000028,Organic Search,organic,(organic),,organic,,Mobile,/collections/bestsellers,1,2,True,True,False,False,,
SESS0000060,2025-09-15,ORD100039,CUST000028,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Mobile,/collections/bestsellers,2,2,True,True,True,True,ORD100039,26.66
SESS0000061,2025-09-10,ORD100040,CUST000029,Direct,(none),(direct),,(none),,Mobile,/collections/skincare-sets,1,2,True,True,False,False,,
SESS0000062,2025-09-15,ORD100040,CUST000029,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,,Mobile,/products/mineral-sunscreen-spf-40,2,2,True,True,True,True,ORD100040,55.14
SESS0000063,2025-09-06,ORD100041,CUST000030,Direct,(none),(direct),,(none),,Mobile,/collections/bestsellers,1,2,True,False,False,False,,
SESS0000064,2025-09-15,ORD100041,CUST000030,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,,Mobile,/collections/skincare-sets,2,2,True,True,True,True,ORD100041,44.95
SESS0000065,2025-09-15,ORD100042,CUST000031,Organic Social,social,(organic social),organic_social,social,(organic social),Mobile,/products/mineral-sunscreen-spf-40,1,1,True,True,True,True,ORD100042,48.31
SESS0000066,2025-09-04,ORD100043,CUST000019,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Mobile,/products/retinol-renewal-serum,1,2,True,True,False,False,,
SESS0000067,2025-09-15,ORD100043,CUST000019,Email/SMS,email,Flow - Abandoned Cart,email/sms,email,Flow - Abandoned Cart,Mobile,/products/retinol-renewal-serum,2,2,True,True,True,True,ORD100043,28.95
SESS0000068,2025-09-15,ORD100044,CUST000026,Organic Search,organic,(organic),,organic,,Mobile,/products/glow-ritual-bundle,1,1,True,True,True,True,ORD100044,48.45
SESS0000069,2025-09-10,ORD100045,CUST000025,Organic Search,organic,(organic),,organic,,Desktop,/products/vitamin-c-serum,1,2,True,True,False,False,,
SESS0000070,2025-09-15,ORD100045,CUST000025,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Desktop,/products/mineral-sunscreen-spf-40,2,2,True,True,True,True,ORD100045,62.95
SESS0000071,2025-09-15,ORD100046,CUST000030,Email/SMS,email,Flow - Welcome Series,email/sms,email,Flow - Welcome Series,Mobile,/products/retinol-renewal-serum,1,1,True,True,True,True,ORD100046,53.29
SESS0000072,2025-09-15,ORD100047,CUST000025,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Desktop,/products/glow-ritual-bundle,1,1,True,True,True,True,ORD100047,48.95
SESS0000073,2025-09-15,ORD100048,CUST000010,Meta Ads,paid_social,Retargeting - Cart Abandon,meta_ads,paid_social,Retargeting - Cart Abandon,Mobile,/products/glow-ritual-bundle,1,1,True,True,True,True,ORD100048,48.95
SESS0000074,2025-09-06,ORD100049,CUST000032,Organic Social,social,(organic social),organic_social,social,(organic social),Mobile,/products/daily-barrier-moisturizer,1,2,True,True,False,False,,
SESS0000075,2025-09-15,ORD100049,CUST000032,Organic Social,social,(organic social),organic_social,social,,Mobile,/products/vitamin-c-serum,2,2,True,True,True,True,ORD100049,44.95
SESS0000076,2025-09-04,ORD100050,CUST000033,Email/SMS,email,Flow - Abandoned Cart,email/sms,email,Flow - Abandoned Cart,Desktop,/products/retinol-renewal-serum,1,4,True,True,True,False,,
SESS0000077,2025-09-07,ORD100050,CUST000033,Meta Ads,paid_social,Retargeting - Cart Abandon,meta_ads,paid_social,Retargeting - Cart Abandon,Desktop,/,2,4,True,True,False,False,,
SESS0000078,2025-09-09,ORD100050,CUST000033,Meta Ads,paid_social,Prospecting - Lookalike 1%,meta_ads,paid_social,Prospecting - Lookalike 1%,Desktop,/products/retinol-renewal-serum,3,4,True,False,False,False,,
SESS0000079,2025-09-15,ORD100050,CUST000033,Organic Social,social,(organic social),organic_social,social,(organic social),Desktop,/pages/about,4,4,True,True,True,True,ORD100050,196.0
SESS0000080,2025-09-14,ORD100052,CUST000035,Google Ads,cpc,PMax - Skincare Prospecting,google_ads,cpc,PMax - Skincare Prospecting,Mobile,/collections/all,1,3,True,False,False,False,,
SESS0000081,2025-09-12,ORD100052,CUST000035,Organic Search,organic,(organic),,organic,,Mobile,/products/glow-ritual-bundle,2,3,True,True,False,False,,
SESS0000082,2025-09-15,ORD100052,CUST000035,Unattributed,(not set),(not set),,(not set),,Mobile,/products/vitamin-c-serum,3,3,True,True,True,True,ORD100052,30.95
SESS0000083,2025-09-15,ORD100053,CUST000027,Direct,(none),(direct),,(none),,Desktop,/collections/skincare-sets,1,1,True,True,True,True,ORD100053,38.61
SESS0000084,2025-09-10,ORD100054,CUST000036,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Desktop,/products/daily-barrier-moisturizer,1,4,True,False,False,False,,
SESS0000085,2025-09-06,ORD100054,CUST000036,Google Ads,cpc,PMax - Skincare Prospecting,google_ads,cpc,PMax - Skincare Prospecting,Desktop,/collections/bestsellers,2,4,True,False,False,False,,
SESS0000086,2025-09-14,ORD100054,CUST000036,Meta Ads,paid_social,Prospecting - Lookalike 1%,meta_ads,paid_social,Prospecting - Lookalike 1%,Desktop,/collections/skincare-sets,3,4,True,False,False,False,,
SESS0000087,2025-09-15,ORD100054,CUST000036,Direct,(none),(direct),,(none),,Desktop,/products/daily-barrier-moisturizer,4,4,True,True,True,True,ORD100054,34.95
SESS0000088,2025-09-15,ORD100056,CUST000027,Direct,(none),(direct),,(none),,Mobile,/products/daily-barrier-moisturizer,1,1,True,True,True,True,ORD100056,28.95
SESS0000089,2025-09-15,ORD100057,CUST000037,Email/SMS,email,Campaign - Monthly Newsletter,email/sms,email,Campaign - Monthly Newsletter,Desktop,/,1,1,True,True,True,True,ORD100057,96.0
SESS0000090,2025-09-15,ORD100058,CUST000038,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,Retargeting - Engaged 30d,Mobile,/products/retinol-renewal-serum,1,1,True,True,True,True,ORD100058,34.95
SESS0000091,2025-09-07,ORD100059,CUST000010,Direct,(none),(direct),,(none),,Desktop,/products/retinol-renewal-serum,1,3,True,True,True,False,,
SESS0000092,2025-09-04,ORD100059,CUST000010,Organic Search,organic,(organic),,organic,,Desktop,/products/vitamin-c-serum,2,3,True,True,True,False,,
SESS0000093,2025-09-15,ORD100059,CUST000010,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Desktop,/,3,3,True,True,True,True,ORD100059,38.95
SESS0000094,2025-09-10,ORD100060,CUST000039,Organic Social,social,(organic social),organic_social,social,,Mobile,/products/mineral-sunscreen-spf-40,1,3,True,True,True,False,,
SESS0000095,2025-09-06,ORD100060,CUST000039,Organic Social,social,(organic social),organic_social,social,,Mobile,/products/glow-ritual-bundle,2,3,True,True,False,False,,
SESS0000096,2025-09-15,ORD100060,CUST000039,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,Retargeting - Engaged 30d,Mobile,/collections/skincare-sets,3,3,True,True,True,True,ORD100060,58.08
SESS0000097,2025-09-15,ORD100061,CUST000040,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,Prospecting - Broad,Mobile,/products/glow-ritual-bundle,1,1,True,True,True,True,ORD100061,62.51
SESS0000098,2025-09-13,ORD100062,CUST000041,Meta Ads,paid_social,Retargeting - Cart Abandon,meta_ads,paid_social,Retargeting - Cart Abandon,Desktop,/products/vitamin-c-serum,1,2,True,False,False,False,,
SESS0000099,2025-09-15,ORD100062,CUST000041,Organic Social,social,(organic social),organic_social,social,,Desktop,/products/retinol-renewal-serum,2,2,True,True,True,True,ORD100062,58.7
SESS0000100,2025-09-06,ORD100063,CUST000042,Direct,(none),(direct),,(none),,Mobile,/products/daily-barrier-moisturizer,1,2,True,False,False,False,,
SESS0000101,2025-09-15,ORD100063,CUST000042,Organic Search,organic,(organic),,organic,,Mobile,/pages/about,2,2,True,True,True,True,ORD100063,94.3
SESS0000102,2025-09-15,ORD100064,CUST000043,Direct,(none),(direct),,(none),,Mobile,/products/vitamin-c-serum,1,1,True,True,True,True,ORD100064,49.07
SESS0000103,2025-09-05,ORD100065,CUST000004,Email/SMS,email,Campaign - Monthly Newsletter,email/sms,email,Campaign - Monthly Newsletter,Mobile,/collections/skincare-sets,1,2,True,True,False,False,,
SESS0000104,2025-09-15,ORD100065,CUST000004,Meta Ads,paid_social,Prospecting - Lookalike 1%,meta_ads,paid_social,Prospecting - Lookalike 1%,Mobile,/collections/bestsellers,2,2,True,True,True,True,ORD100065,40.91
SESS0000105,2025-09-15,ORD100066,CUST000044,Organic Search,organic,(organic),,organic,,Desktop,/collections/skincare-sets,1,1,True,True,True,True,ORD100066,103.94
SESS0000106,2025-09-13,ORD100067,CUST000012,Organic Search,organic,(organic),,organic,,Mobile,/products/retinol-renewal-serum,1,3,True,False,True,False,,
SESS0000107,2025-09-13,ORD100067,CUST000012,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Mobile,/collections/skincare-sets,2,3,True,True,False,False,,
SESS0000108,2025-09-15,ORD100067,CUST000012,Email/SMS,email,Flow - Welcome Series,email/sms,email,Flow - Welcome Series,Mobile,/collections/bestsellers,3,3,True,True,True,True,ORD100067,54.95
SESS0000109,2025-09-16,ORD100068,CUST000045,Meta Ads,paid_social,Prospecting - Lookalike 1%,meta_ads,paid_social,Prospecting - Lookalike 1%,Desktop,/pages/about,1,1,True,True,True,True,ORD100068,44.95
SESS0000110,2025-09-05,ORD100069,CUST000030,Direct,(none),(direct),,(none),,Mobile,/pages/about,1,3,True,False,False,False,,
SESS0000111,2025-09-09,ORD100069,CUST000030,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Mobile,/collections/all,2,3,True,True,True,False,,
SESS0000112,2025-09-16,ORD100069,CUST000030,Organic Search,organic,(organic),,organic,,Mobile,/products/glow-ritual-bundle,3,3,True,True,True,True,ORD100069,96.0
SESS0000113,2025-09-16,ORD100070,CUST000046,Organic Search,organic,(organic),,organic,,Mobile,/,1,1,True,True,True,True,ORD100070,68.58
SESS0000114,2025-09-07,ORD100071,CUST000030,Organic Search,organic,(organic),,organic,,Mobile,/products/daily-barrier-moisturizer,1,2,True,True,False,False,,
SESS0000115,2025-09-16,ORD100071,CUST000030,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Mobile,/collections/all,2,2,True,True,True,True,ORD100071,77.42
SESS0000116,2025-09-16,ORD100072,CUST000047,Meta Ads,paid_social,Prospecting - Lookalike 1%,meta_ads,paid_social,Prospecting - Lookalike 1%,Mobile,/products/mineral-sunscreen-spf-40,1,1,True,True,True,True,ORD100072,120.89
SESS0000117,2025-09-11,ORD100073,CUST000048,Google Ads,cpc,Shopping - Bestsellers,google_ads,cpc,,Mobile,/,1,3,True,True,False,False,,
SESS0000118,2025-09-13,ORD100073,CUST000048,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,,Mobile,/products/retinol-renewal-serum,2,3,True,False,True,False,,
SESS0000119,2025-09-16,ORD100073,CUST000048,Email/SMS,email,Campaign - Monthly Newsletter,email/sms,email,Campaign - Monthly Newsletter,Mobile,/products/glow-ritual-bundle,3,3,True,True,True,True,ORD100073,68.3
SESS0000120,2025-09-16,ORD100074,CUST000029,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Mobile,/pages/about,1,1,True,True,True,True,ORD100074,31.1
SESS0000121,2025-09-13,ORD100075,CUST000049,Organic Social,social,(organic social),organic_social,social,,Mobile,/collections/all,1,2,True,True,False,False,,
SESS0000122,2025-09-16,ORD100075,CUST000049,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,,Mobile,/collections/bestsellers,2,2,True,True,True,True,ORD100075,84.0
SESS0000123,2025-09-08,ORD100076,CUST000050,Direct,(none),(direct),,(none),,Desktop,/collections/skincare-sets,1,2,True,False,True,False,,
SESS0000124,2025-09-16,ORD100076,CUST000050,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Desktop,/products/vitamin-c-serum,2,2,True,True,True,True,ORD100076,48.95
SESS0000125,2025-09-07,ORD100077,CUST000051,Google Ads,cpc,Shopping - Bestsellers,google_ads,cpc,Shopping - Bestsellers,Mobile,/products/retinol-renewal-serum,1,2,True,False,False,False,,
SESS0000126,2025-09-16,ORD100077,CUST000051,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Mobile,/products/daily-barrier-moisturizer,2,2,True,True,True,True,ORD100077,38.95
SESS0000127,2025-09-06,ORD100078,CUST000032,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,Retargeting - Engaged 30d,Mobile,/products/retinol-renewal-serum,1,2,True,True,False,False,,
SESS0000128,2025-09-16,ORD100078,CUST000032,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Mobile,/products/mineral-sunscreen-spf-40,2,2,True,True,True,True,ORD100078,96.71
SESS0000129,2025-09-13,ORD100080,CUST000053,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Mobile,/products/glow-ritual-bundle,1,2,True,False,False,False,,
SESS0000130,2025-09-16,ORD100080,CUST000053,Email/SMS,email,Flow - Welcome Series,email/sms,email,Flow - Welcome Series,Mobile,/,2,2,True,True,True,True,ORD100080,54.95
SESS0000131,2025-09-06,ORD100081,CUST000054,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,Prospecting - Broad,Tablet,/products/daily-barrier-moisturizer,1,3,True,True,False,False,,
SESS0000132,2025-09-13,ORD100081,CUST000054,Direct,(none),(direct),,(none),,Tablet,/pages/about,2,3,True,True,False,False,,
SESS0000133,2025-09-16,ORD100081,CUST000054,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,,Tablet,/products/vitamin-c-serum,3,3,True,True,True,True,ORD100081,41.21
SESS0000134,2025-09-08,ORD100082,CUST000035,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,,Mobile,/products/daily-barrier-moisturizer,1,3,True,True,False,False,,
SESS0000135,2025-09-14,ORD100082,CUST000035,Organic Search,organic,(organic),,organic,,Mobile,/products/vitamin-c-serum,2,3,True,True,False,False,,
SESS0000136,2025-09-16,ORD100082,CUST000035,Email/SMS,email,Flow - Post Purchase Winback,email/sms,email,Flow - Post Purchase Winback,Mobile,/,3,3,True,True,True,True,ORD100082,48.25
SESS0000137,2025-09-16,ORD100083,CUST000055,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Mobile,/pages/about,1,1,True,True,True,True,ORD100083,48.95
SESS0000138,2025-09-15,ORD100085,CUST000056,Organic Social,social,(organic social),organic_social,social,,Mobile,/collections/bestsellers,1,2,True,True,False,False,,
SESS0000139,2025-09-16,ORD100085,CUST000056,Organic Search,organic,(organic),,organic,,Mobile,/products/daily-barrier-moisturizer,2,2,True,True,True,True,ORD100085,38.95
SESS0000140,2025-09-09,ORD100086,CUST000057,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,Retargeting - Engaged 30d,Mobile,/products/daily-barrier-moisturizer,1,3,True,False,False,False,,
SESS0000141,2025-09-15,ORD100086,CUST000057,Organic Search,organic,(organic),,organic,,Mobile,/collections/bestsellers,2,3,True,False,False,False,,
SESS0000142,2025-09-16,ORD100086,CUST000057,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Mobile,/collections/all,3,3,True,True,True,True,ORD100086,58.95
SESS0000143,2025-09-16,ORD100090,CUST000032,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,Prospecting - Broad,Mobile,/collections/skincare-sets,1,1,True,True,True,True,ORD100090,52.79
SESS0000144,2025-09-12,ORD100091,CUST000045,Meta Ads,paid_social,Prospecting - Broad,meta_ads,paid_social,Prospecting - Broad,Desktop,/pages/about,1,2,True,False,False,False,,
SESS0000145,2025-09-16,ORD100091,CUST000045,Google Ads,cpc,Shopping - Bestsellers,google_ads,cpc,Shopping - Bestsellers,Desktop,/collections/bestsellers,2,2,True,True,True,True,ORD100091,96.0
SESS0000146,2025-09-11,ORD100094,CUST000059,Organic Search,organic,(organic),,organic,,Tablet,/products/retinol-renewal-serum,1,2,True,True,False,False,,
SESS0000147,2025-09-16,ORD100094,CUST000059,Meta Ads,paid_social,Retargeting - Cart Abandon,meta_ads,paid_social,Retargeting - Cart Abandon,Tablet,/collections/all,2,2,True,True,True,True,ORD100094,42.37
SESS0000148,2025-09-16,ORD100095,CUST000060,Google Ads,cpc,Shopping - Bestsellers,google_ads,cpc,Shopping - Bestsellers,Desktop,/products/retinol-renewal-serum,1,1,True,True,True,True,ORD100095,96.7
SESS0000149,2025-09-07,ORD100096,CUST000061,Direct,(none),(direct),,(none),,Mobile,/products/mineral-sunscreen-spf-40,1,2,True,True,True,False,,
